,,,,2015-16 Season,,,,,,,Career at Current School,,,,,,,,,Career Overall,,,,,,
Steve Masiello,Manhattan,MAAC,,13,18,0.419,,,,,2011-12,92,71,0.564,2,,,,,92,71,0.564,2,,,
Bashir Mason,Wagner,NEC,,23,11,0.676,,,,,2012-13,71,55,0.563,,,,,,71,55,0.563,,,,
Matt Matheny,Elon,CAA,,16,16,0.5,,,,,2009-10,108,116,0.482,,,,,,108,116,0.482,,,,
Thad Matta,Ohio State,Big Ten,,21,14,0.6,,,,,2004-05,320,108,0.748,9,5,2,,,422,139,0.752,13,6,2,
Fran McCaffery,Iowa,Big Ten,,22,11,0.667,,25,Lost Second Round,,2010-11,118,86,0.578,3,,,,,369,263,0.584,8,,,
Matt McCall,Chattanooga,Southern,,29,6,0.829,,,Lost First Round,,2015-16,29,6,0.829,1,,,,,29,6,0.829,1,,,
Ray McCallum,Detroit Mercy,Horizon,,16,15,0.516,,,,,2008-09,130,132,0.496,1,,,,,300,281,0.516,3,,,
Steve McClain,UIC,Horizon,,5,25,0.167,,,,,2015-16,5,25,0.167,,,,,,162,140,0.536,1,,,
Mike McConathy,Northwestern State,Southland,,8,20,0.286,,,,,1999-00,267,260,0.507,3,,,,,267,260,0.507,3,,,
Greg McDermott,Creighton,Big East,,20,15,0.571,,,,,2010-11,141,72,0.662,3,,,,,290,203,0.588,6,,,
Nick McDevitt,UNC Asheville,Big South,,22,12,0.647,,,Lost First Round,,2013-14,54,43,0.557,1,,,,,54,43,0.557,1,,,
Kevin McGeehan,Campbell,Big South,,12,18,0.4,,,,,2013-14,34,60,0.362,,,,,,34,60,0.362,,,,
Dan McHale,Eastern Kentucky,OVC,,15,16,0.484,,,,,2015-16,15,16,0.484,,,,,,15,16,0.484,,,,
Ritchie McKay,Liberty,Big South,,13,19,0.406,,,,,2007-08,52,47,0.525,,,,,,217,205,0.514,1,,,
Bob McKillop,Davidson,A-10,,20,13,0.606,,,,,1989-90,516,313,0.622,8,1,,,,516,313,0.622,8,1,,
Matt McMahon,Murray State,OVC,,17,14,0.548,,,,,2015-16,17,14,0.548,,,,,,17,14,0.548,,,,
Niko Medved,Furman,Southern,,19,16,0.543,,,,,2013-14,39,59,0.398,,,,,,39,59,0.398,,,,
Marvin Menzies,New Mexico State,WAC,,23,11,0.676,,,,,2007-08,198,111,0.641,5,,,,,198,111,0.641,5,,,
Joe Mihalich,Hofstra,CAA,,24,10,0.706,,,,,2013-14,54,47,0.535,,,,,,319,250,0.561,2,,,
Tim Miles,Nebraska,Big Ten,,16,18,0.471,,,,,2012-13,63,67,0.485,1,,,,,170,175,0.493,2,,,
Archie Miller,Dayton,A-10,,25,8,0.758,,,Lost First Round,,2011-12,115,55,0.676,3,1,,,,115,55,0.676,3,1,,
Sean Miller,Arizona,Pac-12,,25,9,0.735,12,17,Lost First Round,,2009-10,188,61,0.755,5,4,,,,308,108,0.74,9,6,,
Wes Miller,UNC Greensboro,Southern,,15,19,0.441,,,,,2011-12,60,92,0.395,,,,,,60,92,0.395,,,,
Dan Monson,Long Beach State,Big West,,20,15,0.571,,,,,2007-08,155,140,0.525,1,,,,,325,263,0.553,3,1,,
Mark Montgomery,Northern Illinois,MAC,,21,13,0.618,,,,,2011-12,60,97,0.382,,,,,,60,97,0.382,,,,
Chris Mooney,Richmond,A-10,,16,16,0.5,,,,,2005-06,203,162,0.556,2,1,,,,221,174,0.559,2,1,,
Tom Moore,Quinnipiac,MAAC,,9,21,0.3,,,,,2007-08,152,129,0.541,,,,,,152,129,0.541,,,,
Porter Moser,Loyola (IL),MVC,,15,17,0.469,,,,,2011-12,71,91,0.438,,,,,,176,192,0.478,,,,
LeVelle Moton,North Carolina Central,MEAC,,13,19,0.406,,,,,2009-10,127,94,0.575,1,,,,,127,94,0.575,1,,,
Dan Muller,Illinois State,MVC,,18,14,0.562,,,,,2012-13,76,58,0.567,,,,,,76,58,0.567,,,,
Chris Mullin,St. John's (NY),Big East,,8,24,0.25,,,,,2015-16,8,24,0.25,,,,,,8,24,0.25,,,,
Jack Murphy,Northern Arizona,Big Sky,,5,25,0.167,,,,,2012-13,54,78,0.409,,,,,,54,78,0.409,,,,
Rob Murphy,Eastern Michigan,MAC,,18,15,0.545,,,,,2011-12,91,80,0.532,,,,,,91,80,0.532,,,,
Eric Musselman,Nevada,MWC,,24,14,0.632,,,,,2015-16,24,14,0.632,,,,,,24,14,0.632,,,,
Scott Nagy,South Dakota State,Summit,,26,8,0.765,,,Lost First Round,,2005-06,190,163,0.538,3,,,,,190,163,0.538,3,,,
Craig Neal,New Mexico,MWC,,17,15,0.531,,,,,2013-14,59,38,0.608,1,,,,,59,38,0.608,1,,,
Jeff Neubauer,Fordham,A-10,,17,14,0.548,,,,,2015-16,17,14,0.548,,,,,,205,148,0.581,2,,,
Gregg Nibert,Presbyterian,Big South,,11,20,0.355,,,,,2007-08,84,193,0.303,,,,,,84,193,0.303,,,,
Kevin Nickelberry,Howard,MEAC,,12,20,0.375,,,,,2010-11,59,130,0.312,,,,,,108,174,0.383,,,,
Fran O'Hanlon,Lafayette,Patriot,,6,24,0.2,,,,,1995-96,294,333,0.469,3,,,,,294,333,0.469,3,,,
Tim O'Shea,Bryant,NEC,,8,23,0.258,,,,,2008-09,81,163,0.332,,,,,,201,258,0.438,1,,,
Nate Oats,Buffalo,MAC,,20,15,0.571,,,Lost First Round,,2015-16,20,15,0.571,1,,,,,20,15,0.571,1,,,
Kevin Ollie,UConn,AAC,,25,11,0.694,20,,Lost Second Round,,2012-13,97,44,0.688,2,1,1,1,,97,44,0.688,2,1,1,1
Scott Padgett,Samford,Southern,,14,19,0.424,,,,,2014-15,27,38,0.415,,,,,,27,38,0.415,,,,
Matt Painter,Purdue,Big Ten,,26,9,0.743,23,12,Lost First Round,,2005-06,238,134,0.64,8,2,,,,263,139,0.654,9,2,,
Josh Pastner,Memphis,AAC,,19,15,0.559,,,,,2009-10,167,73,0.696,4,,,,,167,73,0.696,4,,,
Jimmy Patsos,Siena,MAAC,,21,13,0.618,,,,,2013-14,52,51,0.505,,,,,,197,186,0.514,1,,,
Dave Paulsen,George Mason,A-10,,11,21,0.344,,,,,2015-16,11,21,0.344,,,,,,145,115,0.558,2,,,
Andre Payne,Mississippi Valley State,SWAC,,8,27,0.229,,,,,2014-15,14,53,0.209,,,,,,14,53,0.209,,,,
Eddie Payne,USC Upstate,A-Sun,,10,22,0.312,,,,,2007-08,117,171,0.406,,,,,,223,319,0.411,1,,,
Steve Payne,Tennessee Tech,OVC,,19,12,0.613,,,,,2011-12,79,77,0.506,,,,,,79,77,0.506,,,,
Bruce Pearl,Auburn,SEC,,11,20,0.355,,,,,2014-15,26,40,0.394,,,,,,257,139,0.649,8,4,,
Russ Pennell,Central Arkansas,Southland,,7,21,0.25,,,,,2014-15,9,48,0.158,,,,,,30,62,0.326,1,1,,
Jack Perri,LIU,NEC,,16,15,0.516,,,,,2012-13,57,67,0.46,1,,,,,57,67,0.46,1,,,
Saul Phillips,Ohio,MAC,,23,12,0.657,,,,,2014-15,33,32,0.508,,,,,,167,116,0.59,2,,,
Steve Pikiell,Stony Brook,AEC,,26,7,0.788,,,Lost First Round,,2005-06,192,156,0.552,1,,,,,192,156,0.552,1,,,
Dave Pilipovich,Air Force,MWC,,14,18,0.438,,,,,2011-12,60,73,0.451,,,,,,60,73,0.451,,,,
J.P. Piper,Nicholls State,Southland,,11,23,0.324,,,,,2004-05,132,224,0.371,,,,,,132,224,0.371,,,,
Richard Pitino,Minnesota,Big Ten,,8,23,0.258,,,,,2013-14,51,51,0.5,,,,,,69,65,0.515,,,,
Rick Pitino *,Louisville,ACC,,23,8,0.742,,16,,,2001-02,391,134,0.745,12,7,3,1,,745,262,0.74,20,13,7,2
Mark Pope,Utah Valley,WAC,,12,18,0.4,,,,,2015-16,12,18,0.4,,,,,,12,18,0.4,,,,
Mark Price,Charlotte,CUSA,,14,19,0.424,,,,,2015-16,14,19,0.424,,,,,,14,19,0.424,,,,
Tic Price,Lamar,Southland,,11,19,0.367,,,,,2013-14,27,38,0.415,,,,,,194,160,0.548,2,,,
Steve Prohm,Iowa State,Big 12,,23,12,0.657,7,22,Lost Regional Semifinal,,2015-16,23,12,0.657,1,1,,,,127,41,0.756,2,1,,
Barclay Radebaugh *,Charleston Southern,Big South,,9,21,0.3,,,,,2005-06,148,187,0.442,,,,,,148,187,0.442,,,,
Randy Rahe,Weber State,Big Sky,,26,9,0.743,,,Lost First Round,,2006-07,208,113,0.648,3,,,,,208,113,0.648,3,,,
Rick Ray,Southeast Missouri State,OVC,,5,24,0.172,,,,,2015-16,5,24,0.172,,,,,,42,84,0.333,,,,
Brett Reed,Lehigh,Patriot,,17,15,0.531,,,,,2007-08,162,120,0.574,2,,,,,162,120,0.574,2,,,
Eric Reveno,Portland,WCC,,12,20,0.375,,,,,2006-07,140,178,0.44,,,,,,140,178,0.44,,,,
Mike Rhoades,Rice,CUSA,,12,20,0.375,,,,,2014-15,24,40,0.375,,,,,,24,40,0.375,,,,
Dave Rice,UNLV,MWC,,9,7,0.562,,,,,2011-12,98,54,0.645,2,,,,,98,54,0.645,2,,,
King Rice,Monmouth,MAAC,,28,8,0.778,,,,,2011-12,79,85,0.482,,,,,,79,85,0.482,,,,
Leon Rice,Boise State,MWC,,20,12,0.625,,,,,2010-11,122,75,0.619,2,,,,,122,75,0.619,2,,,
Keith Richard,Louisiana-Monroe,Sun Belt,,20,14,0.588,,,,,2010-11,68,118,0.366,,,,,,218,235,0.481,,,,
Kareem Richardson,Kansas City,WAC,,12,19,0.387,,,,,2013-14,36,58,0.383,,,,,,36,58,0.383,,,,
David Richman,North Dakota State,Summit,,20,13,0.606,,,,,2014-15,43,23,0.652,1,,,,,43,23,0.652,1,,,
Byron Rimm II,Prairie View,SWAC,,1,18,0.053,,,,,2006-07,115,192,0.375,,,,,,115,192,0.375,,,,
Montez Robinson,Alcorn State,SWAC,,15,15,0.5,,,,,2015-16,15,15,0.5,,,,,,15,15,0.5,,,,
Nick Robinson,Southern Utah,Big Sky,,6,24,0.2,,,,,2012-13,29,90,0.244,,,,,,29,90,0.244,,,,
Lorenzo Romar,Washington,Pac-12,,19,15,0.559,,,,,2002-03,289,174,0.624,6,3,,,,382,262,0.593,7,3,,
Dave Rose,BYU,WCC,,26,11,0.703,,,,,2005-06,283,99,0.741,8,1,,,,283,99,0.741,8,1,,
Monte Ross,Delaware,CAA,,7,23,0.233,,,,,2006-07,132,184,0.418,1,,,,,132,184,0.418,1,,,
Bo Ryan,Wisconsin,Big Ten,,7,5,0.583,17,,Lost Regional Semifinal,,2001-02,364,130,0.737,15,8,2,,,394,157,0.715,15,8,2,
Doc Sadler,Southern Miss,CUSA,,8,21,0.276,,,,,2014-15,17,41,0.293,,,,,,166,148,0.529,1,,,
Kelvin Sampson,Houston,AAC,,22,10,0.688,,,,,2014-15,35,29,0.547,,,,,,460,256,0.642,14,3,1,
Byron Samuels *,Florida A&M,MEAC,,8,21,0.276,,,,,2014-15,10,48,0.172,,,,,,85,171,0.332,,,,
Mark Schmidt,St. Bonaventure,A-10,,22,9,0.71,,,,,2007-08,146,132,0.525,1,,,,,228,222,0.507,1,,,
Heath Schroyer,UT-Martin,OVC,,20,15,0.571,,,,,2014-15,41,28,0.594,,,,,,126,144,0.467,,,,
Joe Scott,Denver,Summit,,16,15,0.516,,,,,2007-08,146,132,0.525,,,,,,235,240,0.495,1,,,
Bill Self,Kansas,Big 12,,33,5,0.868,4,1,Lost Regional Final,,2003-04,385,83,0.823,13,8,2,1,,592,188,0.759,18,11,2,1
Rob Senderoff,Kent State,MAC,,19,13,0.594,,,,,2011-12,100,67,0.599,,,,,,100,67,0.599,,,,
Tony Shaver,William & Mary,CAA,,20,11,0.645,,,,,2003-04,176,225,0.439,,,,,,176,225,0.439,,,,
Larry Shyatt,Wyoming,MWC,,14,18,0.438,,,,,1997-98,117,78,0.6,1,,,,,187,162,0.536,1,,,
Dave Simmons,McNeese State,Southland,,9,20,0.31,,,,,2006-07,136,172,0.442,,,,,,136,172,0.442,,,,
Marty Simmons,Evansville,MVC,,25,9,0.735,,,,,2007-08,151,143,0.514,,,,,,151,143,0.514,,,,
Todd Simon,UNLV,MWC,,9,8,0.529,,,,,2015-16,9,8,0.529,,,,,,9,8,0.529,,,,
Pat Skerry,Towson,CAA,,20,13,0.606,,,,,2011-12,76,88,0.463,,,,,,76,88,0.463,,,,
Al Skinner Jr,Kennesaw State,A-Sun,,11,20,0.355,,,,,2015-16,11,20,0.355,,,,,,396,311,0.56,9,1,,
Mark Slessinger,New Orleans,Southland,,10,20,0.333,,,,,2012-13,40,71,0.36,,,,,,40,71,0.36,,,,
Jerry Slocum,Youngstown State,Horizon,,11,21,0.344,,,,,2005-06,129,211,0.379,,,,,,129,211,0.379,,,,
Shaka Smart,Texas,Big 12,,20,13,0.606,,,Lost First Round,,2015-16,20,13,0.606,1,,,,,183,69,0.726,6,1,1,
Byron Smith,Prairie View,SWAC,,6,6,0.5,,,,,2015-16,6,6,0.5,,,,,,6,6,0.5,,,,
Craig Smith,South Dakota,Summit,,14,18,0.438,,,,,2014-15,31,34,0.477,,,,,,31,34,0.477,,,,
G.G. Smith,Loyola (MD),Patriot,,9,21,0.3,,,,,2013-14,31,59,0.344,,,,,,31,59,0.344,,,,
Kyle Smith,Columbia,Ivy,,25,10,0.714,,,,,2010-11,101,82,0.552,,,,,,101,82,0.552,,,,
Lamont Smith,San Diego,WCC,,9,21,0.3,,,,,2015-16,9,21,0.3,,,,,,9,21,0.3,,,,
Tubby Smith,Texas Tech,Big 12,,19,13,0.594,,,Lost First Round,,2013-14,46,50,0.479,1,,,,,557,276,0.669,18,9,1,1
Zach Spiker,Army,Patriot,,19,14,0.576,,,,,2009-10,102,112,0.477,,,,,,102,112,0.477,,,,
Jay Spoonhour,Eastern Illinois,OVC,,13,17,0.433,,,,,2012-13,53,72,0.424,,,,,,59,76,0.437,,,,
Kevin Stallings,Vanderbilt,SEC,,19,14,0.576,18,,Lost First Four,,1999-00,332,220,0.601,7,2,,,,455,283,0.617,9,2,,
Scott Sutton,Oral Roberts,Summit,,14,17,0.452,,,,,1999-00,320,225,0.587,3,,,,,320,225,0.587,3,,,
Dedrique Taylor,Cal State Fullerton,Big West,,10,20,0.333,,,,,2013-14,30,62,0.326,,,,,,30,62,0.326,,,,
Rodney Terry,Fresno State,MWC,,25,10,0.714,,,Lost First Round,,2011-12,85,84,0.503,1,,,,,85,84,0.503,1,,,
Reggie Theus,Cal State Northridge,Big West,,10,20,0.333,,,,,2013-14,36,62,0.367,,,,,,77,85,0.475,1,,,
Aki Thomas,UMBC,AEC,,7,25,0.219,,,,,2012-13,28,95,0.228,,,,,,28,95,0.228,,,,
Brooks Thompson,UTSA,CUSA,,5,27,0.156,,,,,2006-07,133,178,0.428,1,,,,,133,178,0.428,1,,,
John Thompson III,Georgetown,Big East,,15,18,0.455,,,,,2004-05,264,133,0.665,8,2,1,,,332,175,0.655,10,2,1,
Wayne Tinkle,Oregon State,Pac-12,,19,13,0.594,,,Lost First Round,,2014-15,36,27,0.571,1,,,,,194,118,0.622,4,,,
Andrew Toole,Robert Morris,NEC,,10,22,0.312,,,,,2010-11,120,87,0.58,1,,,,,120,87,0.58,1,,,
Mark Turgeon,Maryland,Big Ten,,27,9,0.75,3,18,Lost Regional Semifinal,,2011-12,114,59,0.659,2,1,,,,364,218,0.625,7,2,,
Russ Turner,UC-Irvine,Big West,,28,10,0.737,,,,,2010-11,118,90,0.567,1,,,,,118,90,0.567,1,,,
Brad Underwood *,Stephen F. Austin,Southland,,28,6,0.824,,,Lost Second Round,,2013-14,89,14,0.864,3,,,,,89,14,0.864,3,,,
Don Verlin,Idaho,Big Sky,,21,13,0.618,,,,,2008-09,131,126,0.51,,,,,,131,126,0.51,,,,
Ron Verlin *,Pacific,WCC,,1,6,0.143,,,,,2013-14,31,41,0.431,,,,,,31,41,0.431,,,,
Will Wade,VCU,A-10,,25,11,0.694,,,Lost Second Round,,2015-16,25,11,0.694,1,,,,,65,36,0.644,1,,,
Keith Walker,Delaware State,MEAC,,7,25,0.219,,,,,2013-14,30,49,0.38,,,,,,30,49,0.38,,,,
Shawn Walker,Grambling,SWAC,,7,24,0.226,,,,,2014-15,9,51,0.15,,,,,,9,51,0.15,,,,
Bob Walsh,Maine,AEC,,8,22,0.267,,,,,2014-15,11,49,0.183,,,,,,11,49,0.183,,,,
Rex Walters,San Francisco,WCC,,15,15,0.5,,,,,2008-09,127,127,0.5,,,,,,158,160,0.497,,,,
Brian Wardle,Bradley,MVC,,5,27,0.156,,,,,2015-16,5,27,0.156,,,,,,100,92,0.521,,,,
Gary Waters,Cleveland State,Horizon,,9,23,0.281,,,,,2006-07,185,150,0.552,1,,,,,356,285,0.555,3,,,
Bruce Weber,Kansas State,Big 12,,17,16,0.515,,,,,2012-13,79,54,0.594,2,,,,,392,209,0.652,10,3,1,
Michael White,Florida,SEC,,21,15,0.583,,,,,2015-16,21,15,0.583,,,,,,122,55,0.689,,,,
James Whitford,Ball State,MAC,,21,14,0.6,,,,,2013-14,33,62,0.347,,,,,,33,62,0.347,,,,
Kevin Willard,Seton Hall,Big East,,25,9,0.735,,20,Lost First Round,,2010-11,107,90,0.543,1,,,,,152,139,0.522,1,,,
Bob Williams,UCSB,Big West,,19,14,0.576,,,,,1998-99,307,238,0.563,3,,,,,307,238,0.563,3,,,
Buzz Williams,Virginia Tech,ACC,,20,15,0.571,,,,,2014-15,31,37,0.456,,,,,,184,123,0.599,5,3,,
Corey Williams,Stetson,A-Sun,,12,22,0.353,,,,,2013-14,28,68,0.292,,,,,,28,68,0.292,,,,
Roy Williams,UNC,ACC,,33,7,0.825,1,3,Lost National Final,,2003-04,365,108,0.772,12,8,4,2,,783,209,0.789,26,17,8,2
Marty Wilson,Pepperdine,WCC,,18,14,0.562,,,,,1995-96,76,91,0.455,,,,,,76,91,0.455,,,,
Willis Wilson,Texas A&M-Corpus Christi,Southland,,25,8,0.758,,,,,2011-12,75,85,0.469,,,,,,293,332,0.469,,,,
Steve Wojciechowski,Marquette,Big East,,20,13,0.606,,,,,2014-15,33,32,0.508,,,,,,33,32,0.508,,,,
Dave Wojcik,San Jose State,MWC,,9,22,0.29,,,,,2013-14,18,74,0.196,,,,,,18,74,0.196,,,,
Sean Woods,Morehead State,OVC,,23,14,0.622,,,,,2012-13,75,63,0.543,,,,,,125,143,0.466,1,,,
Billy Wright,Western Illinois,Summit,,10,17,0.37,,,,,2014-15,18,37,0.327,,,,,,18,37,0.327,,,,
Jay Wright,Villanova,Big East,,35,5,0.875,11,6,Won National Final,,2001-02,354,157,0.693,11,5,2,1,,476,242,0.663,13,5,2,1
Mike Young,Wofford,Southern,,15,17,0.469,,,,,2002-03,232,209,0.526,4,,,,,232,209,0.526,4,,,
