,,,,2020-21 Season,,,,,,,Career at Current School,,,,,,,,,Career Overall,,,,,,
Mike Magpayo,UC-Riverside,Big West,,14,8,0.636,,,,,2020-21,14,8,0.636,,,,,,14,8,0.636,,,,
Bob Marlin,Louisiana,Sun Belt,,17,9,0.654,,,,,2010-11,205,152,0.574,1,,,,,430,283,0.603,3,,,
Donyell Marshall,Central Connecticut,NEC,,5,16,0.238,,,,,2016-17,40,104,0.278,,,,,,40,104,0.278,,,,
Cuonzo Martin,Missouri,SEC,,16,10,0.615,,,Lost First Round,,2017-18,66,56,0.541,2,,,,,252,177,0.587,4,1,,
Frank Martin,South Carolina,SEC,,6,15,0.286,,,,,2012-13,153,134,0.533,1,1,1,,,270,188,0.59,5,2,1,
Steve Masiello,Manhattan,MAAC,,7,13,0.35,,,,,2011-12,147,162,0.476,2,,,,,147,162,0.476,2,,,
Bashir Mason,Wagner,NEC,,13,7,0.65,,,,,2012-13,144,124,0.537,,,,,,144,124,0.537,,,,
Dusty May,Florida Atlantic,CUSA,,13,10,0.565,,,,,2018-19,47,41,0.534,,,,,,47,41,0.534,,,,
Jay McAuley,Wofford,Southern,,15,9,0.625,,,,,2019-20,34,25,0.576,,,,,,34,25,0.576,,,,
Fran McCaffery,Iowa,Big Ten,,22,9,0.71,5,8,Lost Second Round,,2010-11,216,152,0.587,5,,,,,467,329,0.587,10,,,
Matt McCall,UMass,A-10,,8,7,0.533,,,,,2017-18,46,65,0.414,,,,,,94,83,0.531,1,,,
Grant McCasland,North Texas,CUSA,,18,10,0.643,,,Lost Second Round,,2017-18,79,51,0.608,1,,,,,99,63,0.611,1,,,
Mike McConathy,Northwestern State,Southland,,11,18,0.379,,,,,1999-00,321,354,0.476,3,,,,,321,354,0.476,3,,,
Robert McCullum,Florida A&M,MEAC,,8,12,0.4,,,,,2017-18,41,71,0.366,,,,,,125,192,0.394,,,,
Greg McDermott,Creighton,Big East,,22,9,0.71,11,19,Lost Regional Semifinal,,2010-11,253,125,0.669,6,1,,,,402,256,0.611,9,1,,
Nick McDevitt,Middle Tennessee,CUSA,,5,18,0.217,,,,,2018-19,24,62,0.279,,,,,,122,128,0.488,1,,,
Kevin McGeehan,Campbell,Big South,,17,10,0.63,,,,,2013-14,123,133,0.48,,,,,,123,133,0.48,,,,
Ritchie McKay,Liberty,A-Sun,,23,6,0.793,,,Lost First Round,,2007-08,177,93,0.656,2,,,,,342,251,0.577,3,,,
Aaron McKie,Temple,AAC,,5,11,0.312,,,,,2019-20,19,28,0.404,,,,,,19,28,0.404,,,,
Bob McKillop,Davidson,A-10,,13,9,0.591,,,,,1989-90,607,373,0.619,9,1,,,,607,373,0.619,9,1,,
Matt McMahon,Murray State,OVC,,13,13,0.5,,,,,2015-16,123,64,0.658,2,,,,,123,64,0.658,2,,,
Bucky McMillan,Samford,Southern,,6,13,0.316,,,,,2020-21,6,13,0.316,,,,,,6,13,0.316,,,,
Niko Medved,Colorado State,MWC,,20,8,0.714,,,,,2018-19,52,40,0.565,,,,,,131,128,0.506,,,,
Joe Mihalich,Hofstra,CAA,,13,10,0.565,,,,,2013-14,154,102,0.602,,,,,,419,305,0.579,2,,,
Archie Miller,Indiana,Big Ten,,12,15,0.444,,,,,2017-18,67,58,0.536,,,,,,206,121,0.63,4,1,,
Sean Miller *,Arizona,Pac-12,,17,9,0.654,,,,,2009-10,302,109,0.735,7,5,,,,422,156,0.73,11,7,,
Wes Miller,UNC Greensboro,Southern,,21,9,0.7,,,Lost First Round,,2011-12,185,135,0.578,2,,,,,185,135,0.578,2,,,
Paul Mills,Oral Roberts,Summit,,18,11,0.621,,,Lost Regional Semifinal,,2017-18,57,67,0.46,1,1,,,,57,67,0.46,1,1,,
Dan Monson,Long Beach State,Big West,,6,12,0.333,,,,,2007-08,217,229,0.487,1,,,,,387,352,0.524,3,1,,
Mark Montgomery,Northern Illinois,MAC,,3,16,0.158,,,,,2011-12,126,179,0.413,,,,,,126,179,0.413,,,,
Chris Mooney,Richmond,A-10,,14,9,0.609,,,,,2005-06,288,231,0.555,2,1,,,,306,243,0.557,2,1,,
Mike Morrell,UNC Asheville,Big South,,10,10,0.5,,,,,2018-19,29,53,0.354,,,,,,29,53,0.354,,,,
Porter Moser,Loyola (IL),MVC,,26,5,0.839,,17,Lost Regional Semifinal,,2011-12,188,141,0.571,2,2,1,,,293,242,0.548,2,2,1,
LeVelle Moton,North Carolina Central,MEAC,,5,9,0.357,,,,,2009-10,212,157,0.575,4,,,,,212,157,0.575,4,,,
Dan Muller,Illinois State,MVC,,7,18,0.28,,,,,2012-13,156,135,0.536,,,,,,156,135,0.536,,,,
Bryan Mullins,Southern Illinois,MVC,,12,14,0.462,,,,,2019-20,28,30,0.483,,,,,,28,30,0.483,,,,
Rob Murphy,Eastern Michigan,MAC,,6,12,0.333,,,,,2011-12,166,155,0.517,,,,,,166,155,0.517,,,,
Eric Musselman,Arkansas,SEC,,25,7,0.781,,10,Lost Regional Final,,2019-20,45,19,0.703,1,1,,,,155,53,0.745,4,2,,
Scott Nagy,Wright State,Horizon,,18,6,0.75,,,,,2016-17,109,49,0.69,1,,,,,299,212,0.585,4,,,
Brett Nelson,Holy Cross,Patriot,,5,11,0.312,,,,,2019-20,8,40,0.167,,,,,,8,40,0.167,,,,
Jeff Neubauer,Fordham,A-10,,1,7,0.125,,,,,2015-16,61,104,0.37,,,,,,249,238,0.511,2,,,
Fran O'Hanlon,Lafayette,Patriot,,9,6,0.6,,,,,1995-96,351,413,0.459,3,,,,,351,413,0.459,3,,,
Nate Oats,Alabama,SEC,,26,7,0.788,,5,Lost Regional Semifinal,,2019-20,42,22,0.656,1,1,,,,138,65,0.68,4,1,,
Ryan Odom,UMBC,AEC,,14,6,0.7,,,,,2016-17,97,60,0.618,1,,,,,105,71,0.597,1,,,
Chris Ogden,UT Arlington,Sun Belt,,13,13,0.5,,,,,2018-19,44,47,0.484,,,,,,44,47,0.484,,,,
Eric Olen,UC-San Diego,Big West,,7,10,0.412,,,,,2020-21,7,10,0.412,,,,,,7,10,0.412,,,,
T.J. Otzelberger,UNLV,MWC,,12,15,0.444,,,,,2019-20,29,30,0.492,,,,,,99,63,0.611,2,,,
Jack Owens,Miami (OH),MAC,,12,11,0.522,,,,,2017-18,56,65,0.463,,,,,,56,65,0.463,,,,
Matt Painter,Purdue,Big Ten,,18,10,0.643,,20,Lost First Round,,2005-06,355,184,0.659,12,5,,,,380,189,0.668,13,5,,
Lamont Paris,Chattanooga,Southern,,18,8,0.692,,,,,2017-18,60,64,0.484,,,,,,60,64,0.484,,,,
Joe Pasternack,UCSB,Big West,,22,5,0.815,,,Lost First Round,,2017-18,88,34,0.721,1,,,,,126,88,0.589,1,,,
Josh Pastner *,Georgia Tech,ACC,,17,9,0.654,,,Lost First Round,,2016-17,82,76,0.519,1,,,,,249,149,0.626,5,,,
Dave Paulsen,George Mason,A-10,,13,9,0.591,,,,,2015-16,95,91,0.511,,,,,,229,185,0.553,2,,,
Greg Paulus,Niagara,MAAC,,9,11,0.45,,,,,2019-20,21,31,0.404,,,,,,21,31,0.404,,,,
Bruce Pearl,Auburn,SEC,,13,14,0.481,,,,,2014-15,138,92,0.6,2,1,1,,,369,191,0.659,10,5,1,
Barret Peery,Portland State,Big Sky,,9,13,0.409,,,,,2017-18,63,57,0.525,,,,,,63,57,0.525,,,,
John Pelphrey,Tennessee Tech,OVC,,5,22,0.185,,,,,2019-20,14,44,0.241,,,,,,163,170,0.489,2,,,
Scott Pera,Rice,CUSA,,15,13,0.536,,,,,2017-18,50,73,0.407,,,,,,50,73,0.407,,,,
Steve Pikiell,Rutgers,Big Ten,,16,12,0.571,24,,Lost Second Round,,2016-17,80,77,0.51,1,,,,,272,233,0.539,2,,,
Richard Pitino,Minnesota,Big Ten,,14,15,0.483,,,,,2013-14,141,123,0.534,2,,,,,159,137,0.537,2,,,
Rick Pitino *,Iona,MAAC,,12,6,0.667,,,Lost First Round,,2020-21,12,6,0.667,1,,,,,782,277,0.738,22,13,7,2
Mark Pope,BYU,WCC,,20,7,0.741,,23,Lost First Round,,2019-20,44,15,0.746,1,,,,,121,71,0.63,1,,,
Terry Porter,Portland,WCC,,6,11,0.353,,,,,2016-17,43,103,0.295,,,,,,43,103,0.295,,,,
Tic Price,Lamar,Southland,,10,18,0.357,,,,,2013-14,112,113,0.498,,,,,,279,235,0.543,2,,,
Jean Prioleau,San Jose State,MWC,,5,16,0.238,,,,,2017-18,20,93,0.177,,,,,,20,93,0.177,,,,
Steve Prohm,Iowa State,Big 12,,2,22,0.083,,,,,2015-16,97,95,0.505,3,1,,,,201,124,0.618,4,1,,
Mark Prosser,Western Carolina,Southern,,11,16,0.407,,,,,2018-19,37,53,0.411,,,,,,37,53,0.411,,,,
Tony Pujol,North Alabama,A-Sun,,13,11,0.542,,,,,2018-19,36,50,0.419,,,,,,36,50,0.419,,,,
Barclay Radebaugh *,Charleston Southern,Big South,,3,18,0.143,,,,,2005-06,210,274,0.434,,,,,,210,274,0.434,,,,
Randy Rahe,Weber State,Big Sky,,17,6,0.739,,,,,2006-07,295,179,0.622,3,,,,,295,179,0.622,3,,,
Brett Reed,Lehigh,Patriot,,4,11,0.267,,,,,2007-08,233,189,0.552,2,,,,,233,189,0.552,2,,,
Mike Rhoades,VCU,A-10,,19,7,0.731,,,Lost First Round,,2017-18,80,43,0.65,2,,,,,127,95,0.572,2,,,
King Rice,Monmouth,MAAC,,12,8,0.6,,,,,2011-12,161,154,0.511,,,,,,161,154,0.511,,,,
Leon Rice,Boise State,MWC,,19,9,0.679,,,,,2010-11,217,137,0.613,2,,,,,217,137,0.613,2,,,
Keith Richard,Louisiana-Monroe,Sun Belt,,7,19,0.269,,,,,2010-11,128,213,0.375,,,,,,278,330,0.457,,,,
Bob Richey,Furman,Southern,,16,9,0.64,,,,,2017-18,89,34,0.724,,,,,,89,34,0.724,,,,
David Richman,North Dakota State,Summit,,15,12,0.556,,,,,2014-15,136,87,0.61,2,,,,,136,87,0.61,2,,,
Richie Riley,South Alabama,Sun Belt,,17,11,0.607,,,,,2018-19,54,39,0.581,,,,,,89,67,0.571,,,,
Byron Rimm II,IU Indianapolis,Horizon,,8,10,0.444,,,,,2019-20,15,35,0.3,,,,,,130,227,0.364,,,,
Montez Robinson,UT-Martin,OVC,,8,16,0.333,,,,,2020-21,8,16,0.333,,,,,,77,102,0.43,,,,
Lorenzo Romar,Pepperdine,WCC,,15,12,0.556,,,,,1996-97,89,90,0.497,,,,,,438,330,0.57,7,3,,
Will Ryan,Green Bay,Horizon,,8,17,0.32,,,,,2020-21,8,17,0.32,,,,,,8,17,0.32,,,,
Kelvin Sampson,Houston,AAC,,28,4,0.875,17,6,Lost National Semifinal,,2014-15,167,64,0.723,3,2,1,,,592,291,0.67,17,5,2,
Ron Sanchez,Charlotte,CUSA,,9,16,0.36,,,,,2018-19,33,50,0.398,,,,,,33,50,0.398,,,,
Paul Sather,North Dakota,Summit,,9,17,0.346,,,,,2019-20,24,35,0.407,,,,,,24,35,0.407,,,,
Mark Schmidt,St. Bonaventure,A-10,,16,5,0.762,,,Lost First Round,,2007-08,245,185,0.57,3,,,,,327,275,0.543,3,,,
Sam Scholl,San Diego,WCC,,3,11,0.214,,,,,2017-18,35,51,0.407,,,,,,35,51,0.407,,,,
Mike Schrage,Elon,CAA,,10,9,0.526,,,,,2019-20,23,30,0.434,,,,,,23,30,0.434,,,,
Heath Schroyer,McNeese State,Southland,,10,14,0.417,,,,,2018-19,34,53,0.391,,,,,,160,197,0.448,,,,
Joe Scott,Air Force,MWC,,5,20,0.2,,,,,2000-01,56,83,0.403,1,,,,,240,260,0.48,1,,,
Bill Self,Kansas,Big 12,,21,9,0.7,6,12,Lost Second Round,,2003-04,522,118,0.816,17,10,3,1,,729,223,0.766,22,13,3,1
Herb Sendek,Santa Clara,WCC,,12,8,0.6,,,,,2016-17,76,72,0.514,,,,,,489,367,0.571,8,1,,
Rob Senderoff,Kent State,MAC,,15,8,0.652,,,,,2011-12,196,129,0.603,1,,,,,196,129,0.603,1,,,
Jason Shay,ETSU,Southern,,13,12,0.52,,,,,2020-21,13,12,0.52,,,,,,13,12,0.52,,,,
Takayo Siddle,UNC Wilmington,CAA,,7,10,0.412,,,,,2020-21,7,10,0.412,,,,,,7,10,0.412,,,,
Todd Simon,Southern Utah,Big Sky,,20,4,0.833,,,,,2016-17,73,82,0.471,,,,,,82,90,0.477,,,,
Eric Skeeters,Delaware State,MEAC,,3,16,0.158,,,,,2018-19,15,67,0.183,,,,,,15,67,0.183,,,,
Pat Skerry,Towson,CAA,,4,14,0.222,,,,,2011-12,147,164,0.473,,,,,,147,164,0.473,,,,
Mark Slessinger,New Orleans,Southland,,10,15,0.4,,,,,2012-13,114,150,0.432,1,,,,,114,150,0.432,1,,,
Shaka Smart,Texas,Big 12,,19,8,0.704,19,9,Lost First Round,,2015-16,109,86,0.559,3,,,,,272,142,0.657,8,1,1,
Steve Smiley,Northern Colorado,Big Sky,,11,11,0.5,,,,,2020-21,11,11,0.5,,,,,,11,11,0.5,,,,
Byron Smith,Prairie View,SWAC,,16,5,0.762,,,,,2015-16,92,75,0.551,1,,,,,92,75,0.551,1,,,
Craig Smith,Utah State,MWC,,20,9,0.69,,,Lost First Round,,2018-19,74,24,0.755,2,,,,,153,79,0.659,2,,,
John Smith,Cal Poly,Big West,,4,20,0.167,,,,,2019-20,11,43,0.204,,,,,,11,43,0.204,,,,
Kyle Smith,Washington State,Pac-12,,14,13,0.519,,,,,2019-20,30,29,0.508,,,,,,194,151,0.562,,,,
Tubby Smith,High Point,Big South,,9,15,0.375,,,,,2018-19,34,53,0.391,,,,,,631,355,0.64,18,9,1,1
Zach Spiker,Drexel,CAA,,12,8,0.6,,,Lost First Round,,2016-17,61,89,0.407,1,,,,,163,201,0.448,1,,,
Scott Spinelli,Boston College,ACC,,1,3,0.25,,,,,2020-21,1,3,0.25,,,,,,1,3,0.25,,,,
Jay Spoonhour,Eastern Illinois,OVC,,9,18,0.333,,,,,2012-13,119,157,0.431,,,,,,125,161,0.437,,,,
Preston Spradlin,Morehead State,OVC,,23,8,0.742,,,Lost First Round,,2016-17,69,77,0.473,1,,,,,69,77,0.473,1,,,
Danny Sprinkle,Montana State,Big Sky,,13,10,0.565,,,,,2019-20,29,25,0.537,,,,,,29,25,0.537,,,,
Jerry Stackhouse,Vanderbilt,SEC,,9,16,0.36,,,,,2019-20,20,37,0.351,,,,,,20,37,0.351,,,,
Rick Stansbury,Western Kentucky,CUSA,,21,8,0.724,,,,,2016-17,103,60,0.632,,,,,,396,226,0.637,6,,,
Jai Steadman,Texas-Rio Grande Valley,WAC,,1,6,0.143,,,,,2020-21,1,6,0.143,,,,,,1,6,0.143,,,,
Travis Steele,Xavier,Big East,,13,8,0.619,,,,,2018-19,51,37,0.58,,,,,,51,37,0.58,,,,
Damon Stoudamire,Pacific,WCC,,9,9,0.5,,,,,2016-17,71,77,0.48,,,,,,71,77,0.48,,,,
Dedrique Taylor,Cal State Fullerton,Big West,,6,10,0.375,,,,,2013-14,100,137,0.422,1,,,,,100,137,0.422,1,,,
Rodney Terry,UTEP,CUSA,,12,12,0.5,,,,,2018-19,37,48,0.435,,,,,,163,156,0.511,1,,,
Wayne Tinkle,Oregon State,Pac-12,,20,13,0.606,,,Lost Regional Final,,2014-15,113,109,0.509,2,1,,,,271,200,0.575,5,1,,
Andrew Toole,Robert Morris,Horizon,,4,15,0.211,,,,,2010-11,192,169,0.532,1,,,,,192,169,0.532,1,,,
Mark Turgeon,Maryland,Big Ten,,17,14,0.548,,,Lost Second Round,,2011-12,221,113,0.662,5,1,,,,471,272,0.634,10,2,,
Russ Turner,UC-Irvine,Big West,,18,9,0.667,,,,,2010-11,227,148,0.605,2,,,,,227,148,0.605,2,,,
Brad Underwood *,Illinois,Big Ten,,24,7,0.774,8,2,Lost Second Round,,2017-18,71,56,0.559,1,,,,,180,83,0.684,5,,,
Will Wade,LSU,SEC,,19,10,0.655,,,Lost Second Round,,2017-18,83,40,0.675,2,1,,,,174,85,0.672,4,1,,
Darrell Walker,Little Rock,Sun Belt,,11,15,0.423,,,,,2018-19,42,46,0.477,,,,,,42,46,0.477,,,,
Brian Wardle,Bradley,MVC,,12,16,0.429,,,,,2015-16,93,102,0.477,1,,,,,188,167,0.53,1,,,
Bruce Weber,Kansas State,Big 12,,9,20,0.31,,,,,2012-13,170,130,0.567,5,1,,,,483,285,0.629,13,4,1,
Paul Weir,New Mexico,MWC,,6,16,0.273,,,,,2017-18,58,63,0.479,,,,,,86,69,0.555,1,,,
Michael White,Florida,SEC,,15,10,0.6,,,Lost Second Round,,2015-16,123,75,0.621,4,1,,,,224,115,0.661,4,1,,
Jim Whitesell,Buffalo,MAC,,16,9,0.64,,,,,2019-20,36,21,0.632,,,,,,145,128,0.531,,,,
James Whitford,Ball State,MAC,,10,13,0.435,,,,,2013-14,117,131,0.472,,,,,,117,131,0.472,,,,
Kevin Willard,Seton Hall,Big East,,14,13,0.519,,,,,2010-11,204,150,0.576,4,,,,,249,199,0.556,4,,,
Buzz Williams,Texas A&M,SEC,,8,10,0.444,,,,,2019-20,24,24,0.5,,,,,,277,179,0.607,8,4,,
Mo Williams,Alabama State,SWAC,,4,14,0.222,,,,,2020-21,4,14,0.222,,,,,,4,14,0.222,,,,
Roy Williams,UNC,ACC,,18,11,0.621,16,,Lost First Round,,2003-04,485,163,0.748,16,10,5,3,,903,264,0.774,30,19,9,3
Willis Wilson,Texas A&M-Corpus Christi,Southland,,5,19,0.208,,,,,2011-12,143,170,0.457,,,,,,361,417,0.464,,,,
Reggie Witherspoon,Canisius,MAAC,,7,6,0.538,,,,,2016-17,73,71,0.507,,,,,,271,299,0.475,,,,
Steve Wojciechowski,Marquette,Big East,,13,14,0.481,,,,,2014-15,128,95,0.574,2,,,,,128,95,0.574,2,,,
Sean Woods,Southern,SWAC,,8,11,0.421,,,,,2018-19,32,51,0.386,,,,,,159,201,0.442,1,,,
Jay Wright,Villanova,Big East,,18,7,0.72,3,18,Lost Regional Semifinal,,2001-02,490,189,0.722,15,7,3,2,,612,274,0.691,17,7,3,2
Luke Yaklich,UIC,Horizon,,9,13,0.409,,,,,2020-21,9,13,0.409,,,,,,9,13,0.409,,,,
Jay Young,Fairfield,MAAC,,10,17,0.37,,,,,2019-20,22,37,0.373,,,,,,22,37,0.373,,,,
Mike Young,Virginia Tech,ACC,,15,7,0.682,,25,Lost First Round,,2019-20,31,23,0.574,1,,,,,330,267,0.553,6,,,
