,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
275,Southeastern Louisiana,31,8,23,0.258,-16.11,-5.72,,5,15,,6,8,,2,14,,2157,2429,,74,104.6,0.402,0.356,0.576,54,56.4,9.8,8.2,0.535,20.4,33.8,0.3
276,Southern,32,17,15,0.531,-9.36,-9.49,,13,5,,11,1,,5,14,,2234,2147,,69.5,95.8,0.486,0.323,0.529,47.2,43,8.3,8.3,0.486,18.5,25,0.331
277,Southern California,31,22,9,0.71,11.51,7.22,,11,7,,14,2,,5,6,,2179,2046,,70,93.2,0.28,0.394,0.48,47.7,51,11.2,7.5,0.446,15.7,27.9,0.196
278,Southern Illinois,32,16,16,0.5,-0.18,0.37,,10,8,,12,3,,3,10,,2002,1991,,64.3,96.3,0.245,0.348,0.509,54.2,53.4,9.9,11.2,0.484,18.2,30.1,0.17
279,SIU Edwardsville,31,8,23,0.258,-14.16,-5.71,,5,13,,4,10,,4,13,,2073,2261,,70.2,104,0.399,0.412,0.547,51,61.7,8.8,8,0.505,16.7,29.4,0.292
280,Southern Methodist,30,19,11,0.633,7.97,3.5,,9,9,,15,2,,4,9,,2188,2054,,66,101.7,0.282,0.43,0.526,47,59.6,10.5,9.2,0.492,16.2,29,0.208
281,Southern Mississippi,31,9,22,0.29,-6.65,2.35,,5,13,,8,7,,1,12,,2047,2242,,68.7,104.4,0.329,0.473,0.545,48.7,53.6,10.7,6.2,0.508,15.8,26.6,0.244
282,Southern Utah,32,17,15,0.531,0.1,-2.47,,9,11,,9,5,,6,10,,2329,2122,,70.5,92.6,0.362,0.346,0.494,46.3,49.7,7.9,10,0.45,15.8,22.5,0.258
283,St. Bonaventure,31,19,12,0.613,3.12,1.62,,11,7,,9,5,,7,7,,2143,2073,,66.3,100.1,0.328,0.454,0.523,47.7,60.9,8.2,7.8,0.492,15.8,26.2,0.224
284,St. Francis (NY),31,13,18,0.419,-11.3,-7.44,,7,11,,9,5,,4,13,,2168,2220,,71.1,100.3,0.36,0.331,0.53,50.8,46.9,7.9,7.7,0.493,17,28.3,0.254
285,St. John's (NY),32,17,15,0.531,10.71,7.68,,5,13,,13,6,,1,8,,2387,2290,,74.3,96.4,0.362,0.422,0.516,51.6,57.6,7,9.6,0.482,19.5,31.3,0.247
286,Stanford,32,20,12,0.625,13.35,6.38,,9,9,,14,4,,4,6,,2223,2000,,68.7,90.3,0.318,0.373,0.492,51.2,45.5,9.2,11.3,0.456,19.7,27.8,0.222
287,Stephen F. Austin,31,28,3,0.903,4.04,-6.89,,19,1,,16,1,,12,2,,2499,2077,,74.8,89.3,0.447,0.385,0.537,44.5,52.7,10.2,8.3,0.489,25.7,26.6,0.324
288,Stetson,33,16,17,0.485,-9.63,-5.3,,9,7,,8,7,,7,9,,2103,2167,,64.3,101.8,0.301,0.478,0.524,48.1,60.9,8.8,9,0.496,15.7,28.4,0.207
289,Stony Brook,33,20,13,0.606,-2.41,-4.41,,10,6,,10,5,,8,8,,2283,2172,,69.9,93.4,0.274,0.42,0.491,48.2,57.3,8.8,8.5,0.46,16.5,26.9,0.188
290,Syracuse,32,18,14,0.563,12.32,7.26,,10,10,,11,7,,6,5,,2378,2216,,68.3,100.6,0.302,0.479,0.519,50.9,72.7,8.5,8.2,0.483,17.3,32.2,0.221
291,TCU,32,16,16,0.5,9.86,10.09,,7,11,,14,5,,1,9,,2093,2079,,65.7,97.8,0.306,0.337,0.519,49.1,62.4,9.6,12.6,0.493,18.4,29.8,0.203
292,Temple,31,14,17,0.452,6.59,6.17,,6,12,,8,7,,4,8,,2117,2104,,70.6,94.9,0.295,0.419,0.499,50.3,57.1,9,10.9,0.464,16.3,26.7,0.211
293,Tennessee,31,17,14,0.548,11.18,8.3,,9,9,,11,6,,4,7,,2079,1990,,66.6,96.4,0.353,0.346,0.5,49.2,44.7,11.4,8.8,0.459,16.9,30.1,0.249
294,Tennessee State,33,18,15,0.545,-6.7,-5.45,,9,9,,11,3,,4,11,,2355,2345,,70.5,100,0.382,0.379,0.515,46.4,44.9,9.7,7.7,0.47,15.3,27.4,0.276
295,Tennessee Tech,31,9,22,0.29,-13.64,-4.67,,6,12,,6,8,,3,12,,2033,2241,,68.8,104.2,0.275,0.372,0.555,50.6,59.5,10,9.4,0.531,17.4,28.2,0.195
296,Tennessee-Martin,29,9,20,0.31,-14.15,-4.3,,5,13,,6,6,,2,12,,2194,2382,,70.1,116.7,0.271,0.416,0.591,51.8,60.7,9.2,8.2,0.574,15.2,34.3,0.186
297,Texas,31,19,12,0.613,10.47,9.6,,9,9,,11,6,,6,5,,1989,1962,,66.2,95.6,0.353,0.282,0.501,52.7,43.7,9.7,9.6,0.469,17.9,31.9,0.233
298,Texas A&M,30,16,14,0.533,4.93,6.96,,10,8,,11,6,,5,4,,1894,1955,,65.7,98.7,0.26,0.503,0.524,50.3,63.9,10.1,12.6,0.492,19.2,31.8,0.195
299,Texas A&M-Corpus Christi,32,14,18,0.438,-10.8,-6.63,,10,10,,10,6,,4,11,,2112,2199,,68.3,100.7,0.395,0.356,0.53,47.9,52.3,12.4,10.1,0.486,16.8,28,0.289
300,Texas Southern,32,16,16,0.5,-10.37,-6.05,,12,6,,11,1,,5,15,,2335,2431,,74.6,100.6,0.338,0.352,0.533,49.4,53,10.1,9.5,0.497,17.3,29.7,0.243
301,Texas State,32,21,11,0.656,5.42,-0.28,,13,7,,15,3,,6,8,,2339,2058,,67.1,94.7,0.38,0.372,0.508,49.8,50.4,7.5,7.8,0.464,18.8,29.5,0.272
302,Texas Tech,31,18,13,0.581,16.83,8.41,,9,9,,13,4,,3,7,,2230,1969,,68.2,91.6,0.354,0.357,0.502,50,44.1,9.1,9.1,0.462,20.2,29.3,0.246
303,Texas-Rio Grande Valley,30,14,16,0.467,-7.05,-3.7,,9,7,,11,3,,3,11,,2189,2143,,70.6,99.9,0.422,0.353,0.564,51.5,59.3,7.6,5.4,0.527,21.5,28.6,0.302
304,The Citadel,30,6,24,0.2,-13.82,-1,,0,18,,3,11,,3,12,,2244,2433,,75.6,105.9,0.274,0.43,0.553,53.1,51.9,10,8.3,0.528,16,29.3,0.193
305,Toledo,32,17,15,0.531,1.2,-1.47,,8,10,,10,6,,7,9,,2386,2244,,69.5,100.4,0.261,0.372,0.51,48.7,44.7,9.4,9.4,0.482,14.6,27.5,0.184
306,Towson,32,19,13,0.594,0.09,-1.51,,12,6,,9,5,,8,4,,2258,2125,,65.7,100.3,0.304,0.431,0.517,46,53.3,7.2,7.2,0.48,14.5,26.2,0.225
307,Troy,31,9,22,0.29,-9.01,-1.32,,5,15,,6,9,,3,13,,2131,2276,,70.8,102.8,0.375,0.399,0.546,50.8,56.2,9.5,10.7,0.512,17.8,29.5,0.262
308,Tulane,30,12,18,0.4,0.94,3.54,,4,14,,7,7,,3,7,,2050,2128,,69.4,101.4,0.296,0.433,0.552,55.6,62.9,7.4,9.3,0.527,20.1,31.1,0.205
309,Tulsa,31,21,10,0.677,7.92,3.59,,13,5,,15,2,,6,7,,2103,1969,,67.1,93.2,0.283,0.461,0.5,49.9,53.5,10.6,9.9,0.467,18.8,28,0.202
310,UAB,32,19,13,0.594,-0.94,-1.64,,9,9,,11,6,,5,7,,2154,2088,,67.2,97.2,0.267,0.409,0.514,45.3,47.2,10.1,8.5,0.483,16.2,24.3,0.191
311,UC Davis,32,14,18,0.438,-4.7,-2.63,,8,8,,8,4,,5,12,,2330,2286,,68.4,103.7,0.348,0.386,0.56,51.7,58,8.9,8.1,0.527,17.9,27.5,0.251
312,UC Irvine,32,21,11,0.656,3.73,-2.18,,13,3,,11,2,,8,8,,2367,2087,,69.1,94.4,0.351,0.345,0.49,43.3,48.4,7.9,6.4,0.448,15,24.7,0.246
313,UC Riverside,32,17,15,0.531,-3.63,-4.18,,7,9,,11,5,,6,10,,2059,1939,,64.4,93.7,0.304,0.329,0.495,45.8,49.6,8.6,8.6,0.462,15,21.2,0.209
314,UC Santa Barbara,31,21,10,0.677,-0.57,-4.06,,10,6,,13,3,,8,7,,2195,2054,,64.9,101.6,0.289,0.357,0.54,46.4,47.3,7,7,0.511,16.4,24.9,0.206
315,UCF,30,16,14,0.533,5.13,4.13,,7,11,,10,6,,4,7,,2067,2037,,68.7,98,0.294,0.368,0.516,50.7,58,9.9,7.3,0.478,17.9,30.5,0.22
316,UCLA,31,19,12,0.613,9.83,8.23,,12,6,,13,4,,5,5,,2153,2079,,66.5,100.1,0.352,0.379,0.538,45.8,47.5,8.6,8.1,0.5,17.3,25.3,0.256
317,UNC Asheville,31,15,16,0.484,-10.31,-8.31,,8,10,,10,5,,5,10,,2326,2318,,71.2,104.7,0.396,0.313,0.584,54.3,50.8,6.7,7.7,0.563,20.6,29.2,0.262
318,UNC Greensboro,32,23,9,0.719,5.92,-1.48,,13,5,,14,4,,9,4,,2372,2020,,69,90.4,0.357,0.397,0.524,47.9,49.4,8.3,6.7,0.492,23,26.4,0.24
319,UNC Wilmington,32,10,22,0.313,-9.31,-0.9,,5,13,,8,8,,1,12,,2186,2294,,69.6,102.3,0.314,0.386,0.533,51.9,49,9.2,6.8,0.506,16.2,28.1,0.214
320,UT Arlington,32,14,18,0.438,2.76,2.13,,10,10,,8,8,,6,9,,2259,2189,,68.8,98.3,0.347,0.353,0.501,50.9,53.8,7,8.8,0.465,15.2,28.6,0.238
321,Utah,31,16,15,0.516,8.47,7.86,,7,11,,12,2,,1,10,,2199,2180,,67.7,102.3,0.23,0.353,0.529,48.1,50.7,9.7,11.3,0.503,15.5,26.9,0.169
322,Utah State,34,26,8,0.765,13.66,4.04,,12,6,,15,1,,4,6,,2600,2179,,68.9,92,0.259,0.423,0.488,43.4,48.7,9.6,8.8,0.458,15.8,21.4,0.181
323,Utah Valley,30,11,19,0.367,-7.47,-4.18,,5,10,,6,7,,5,12,,2105,2131,,71.2,98.9,0.335,0.299,0.515,50.4,47.8,8.6,10.5,0.472,15.4,26.2,0.249
324,UTEP,32,17,15,0.531,-1,-0.45,,8,10,,13,4,,3,9,,2157,2116,,69.2,95.3,0.337,0.367,0.51,50.3,47.2,8.3,7.8,0.471,17.5,25.6,0.24
325,UTSA,32,13,19,0.406,-3.18,0.41,,7,11,,10,5,,3,9,,2461,2465,,74,102.5,0.363,0.392,0.54,50,48.1,7.6,9.5,0.506,16.4,26.1,0.255
326,Valparaiso,35,19,16,0.543,1.44,1.17,,9,9,,11,2,,4,10,,2530,2494,,69.5,101.1,0.309,0.347,0.544,51.1,52,9,7.3,0.517,17.8,27.1,0.214
327,Vanderbilt,32,11,21,0.344,3.16,6.41,,3,15,,10,10,,1,9,,2295,2399,,70,106.3,0.368,0.338,0.564,52.8,50.7,8,13,0.527,17.2,29.4,0.272
328,Vermont,33,26,7,0.788,6.07,-4.84,,14,2,,13,3,,12,3,,2361,1963,,66.5,89.4,0.305,0.413,0.484,47,50.2,8.6,7.8,0.445,17.2,23,0.217
329,Villanova,31,24,7,0.774,16.84,10.03,,13,5,,12,3,,9,3,,2269,2058,,67.6,97.8,0.236,0.318,0.508,48.8,47.6,8.4,10.3,0.482,14.9,24.4,0.166
330,Virginia,30,23,7,0.767,12.16,7.5,,15,5,,14,3,,7,4,,1711,1571,,60.2,85.9,0.216,0.426,0.459,47.2,47.3,10.9,8.6,0.431,17,23.3,0.149
331,Virginia Commonwealth,31,18,13,0.581,9.66,4.08,,8,10,,14,4,,4,7,,2193,2020,,69.2,93.8,0.359,0.348,0.52,51.9,52.6,9.6,8.7,0.481,21.3,30.1,0.253
332,VMI,33,9,24,0.273,-6.92,-2.72,,3,15,,5,10,,2,12,,2380,2346,,68.4,102.4,0.38,0.399,0.536,50.1,54.2,8.2,9.5,0.496,16.4,27.6,0.273
333,Virginia Tech,32,16,16,0.5,8.22,6.16,,7,13,,12,6,,3,7,,2194,2128,,66.1,98.2,0.261,0.425,0.511,52.3,53.3,6.1,10.4,0.485,15.5,25.5,0.179
334,Wagner,29,8,21,0.276,-14.79,-5.57,,5,13,,5,8,,3,13,,1982,2210,,69.1,108.8,0.454,0.415,0.575,50.7,60.5,9.7,8.8,0.539,16.6,29.2,0.32
335,Wake Forest,31,13,18,0.419,6.69,8.14,,6,14,,9,5,,1,11,,2276,2321,,70.8,104.1,0.352,0.353,0.532,48.1,49.8,10.5,9.4,0.497,13.4,26,0.248
336,Washington,32,15,17,0.469,12.41,8.25,,5,13,,10,7,,3,7,,2259,2126,,70.2,93.9,0.314,0.382,0.482,50.3,60.4,9.6,6.1,0.441,16.6,31.8,0.226
337,Washington State,32,16,16,0.5,5.13,4.94,,6,12,,11,5,,2,9,,2235,2229,,71.1,97.2,0.323,0.32,0.529,50.5,44.8,8.1,10.1,0.499,18.6,25.8,0.222
338,Weber State,32,12,20,0.375,-8.32,-0.66,,8,12,,8,6,,4,9,,2225,2280,,68.7,102.9,0.225,0.341,0.531,52,52.5,8.8,7.1,0.507,14.9,27.1,0.16
339,West Virginia,31,21,10,0.677,18.51,10.64,,9,9,,14,2,,4,8,,2179,1935,,69.4,89.6,0.37,0.375,0.491,44.4,47.6,10.5,8.1,0.445,19.7,27.6,0.265
340,Western Carolina,31,19,12,0.613,-0.1,-1.55,,10,8,,10,4,,8,7,,2444,2317,,72.4,102.3,0.305,0.41,0.531,46.9,45.5,9.1,11.1,0.498,15.1,25,0.219
341,Western Illinois,26,5,21,0.192,-14.28,-3.03,,2,14,,4,10,,1,11,,1934,2126,,73.1,110.9,0.341,0.352,0.578,53.1,42,6.7,6.6,0.544,14,24.7,0.255
342,Western Kentucky,30,20,10,0.667,4.2,0.96,,13,5,,12,2,,6,6,,2297,2160,,69.8,101,0.209,0.383,0.523,51.6,47.1,7.8,8.4,0.498,16.5,30.6,0.153
343,Western Michigan,32,13,19,0.406,-5.42,-0.25,,6,12,,10,5,,3,12,,2220,2306,,69,103.2,0.304,0.374,0.524,51.2,46.9,9,8.7,0.495,14.3,28.5,0.209
344,Wichita State,31,23,8,0.742,13.66,5.6,,11,7,,17,2,,5,5,,2227,1977,,70.7,89.5,0.384,0.352,0.488,46.8,46.9,8.7,10.8,0.444,17.9,24.1,0.267
345,William & Mary,32,21,11,0.656,-2.46,-3.1,,13,5,,11,2,,10,7,,2288,2208,,68,101.5,0.259,0.353,0.516,46.9,44.9,9.7,8.3,0.487,12.9,23.3,0.185
346,Winthrop,34,24,10,0.706,1.16,-6.53,,15,3,,11,4,,10,6,,2765,2431,,72.6,97.4,0.415,0.382,0.532,44.8,50.5,8.8,9.3,0.498,17.9,23.9,0.278
347,Wisconsin,31,21,10,0.677,15.95,10.95,,14,6,,15,1,,6,6,,2082,1927,,64.4,96.1,0.253,0.325,0.492,50.4,47.7,7.7,9.6,0.464,14.8,25.9,0.175
348,Wofford,35,19,16,0.543,0.17,-1.5,,8,10,,10,5,,6,10,,2523,2399,,66.9,101.4,0.319,0.432,0.544,49.8,50.7,8.9,8.2,0.512,16.4,24.9,0.228
349,Wright State,32,25,7,0.781,2.46,-6.21,,15,3,,14,2,,9,3,,2580,2264,,73.1,95.6,0.264,0.328,0.497,48.1,40.3,8.5,7,0.465,16.6,29.3,0.188
350,Wyoming,33,9,24,0.273,-3.05,4.82,,2,16,,4,13,,3,8,,2070,2308,,67.6,102.4,0.365,0.416,0.535,56.5,50.2,8.8,9,0.501,16.4,28.2,0.254
351,Xavier,32,19,13,0.594,12.57,9.47,,8,10,,12,5,,5,6,,2261,2162,,69.1,95.8,0.289,0.363,0.5,47.6,49.6,10,8.7,0.464,16.3,27.6,0.211
352,Yale,30,23,7,0.767,6.63,-1.51,,11,3,,10,1,,11,6,,2289,1954,,68.2,92.5,0.253,0.405,0.492,45.2,50.9,9.6,8.9,0.459,15.5,21,0.183
353,Youngstown State,33,18,15,0.545,-5.56,-4.79,,10,8,,13,4,,5,11,,2401,2351,,68.6,102.7,0.307,0.331,0.526,47.4,49.1,8.2,8.5,0.495,15.1,29.4,0.215
