,,,,2024-25 Season,,,,,,,Career at Current School,,,,,,,,,Career Overall,,,,,,
Thad Matta,Butler,Big East,,15,20,0.429,,,,,2000-01,71,61,0.538,1,,,,,486,207,0.701,13,6,2,
Jonathan Mattox,Morehead State,OVC,,15,17,0.469,,,,,2024-25,15,17,0.469,,,,,,15,17,0.469,,,,
Dusty May,Michigan,Big Ten,,27,10,0.73,,10,Lost Regional Semifinal,,2024-25,27,10,0.73,1,1,,,,153,79,0.659,3,2,1,
Fran McCaffery,Iowa,Big Ten,,17,16,0.515,,,,,2010-11,297,207,0.589,7,,,,,548,384,0.588,12,,,
Grant McCasland,Texas Tech,Big 12,,28,9,0.757,,8,Lost Regional Final,,2023-24,51,20,0.718,2,1,,,,206,97,0.68,3,1,,
Ben McCollum,Drake,MVC,,31,4,0.886,,,Lost Second Round,,2024-25,31,4,0.886,1,,,,,31,4,0.886,1,,,
Greg McDermott,Creighton,Big East,,25,11,0.694,15,,Lost Second Round,,2010-11,350,171,0.672,10,3,,,,499,302,0.623,13,3,,
Nick McDevitt,Middle Tennessee,CUSA,,22,12,0.647,,,,,2018-19,105,118,0.471,,,,,,203,184,0.525,1,,,
Mike McGarvey,Lafayette,Patriot,,13,20,0.394,,,,,2022-23,26,44,0.371,,,,,,26,44,0.371,,,,
Kevin McGeehan,Campbell,CAA,,15,17,0.469,,,,,2013-14,184,199,0.48,,,,,,184,199,0.48,,,,
Ritchie McKay,Liberty,CUSA,,28,7,0.8,,,Lost First Round,,2007-08,272,134,0.67,3,,,,,437,292,0.599,4,,,
Matt McKillop,Davidson,A-10,,17,16,0.515,,,,,2022-23,48,49,0.495,,,,,,48,49,0.495,,,,
David McLaughlin,Dartmouth,Ivy,,14,14,0.5,,,,,2016-17,76,145,0.344,,,,,,76,145,0.344,,,,
Matt McMahon,LSU,SEC,,14,18,0.438,,,,,2022-23,45,53,0.459,,,,,,199,120,0.624,3,,,
Bucky McMillan,Samford,Southern,,22,11,0.667,,,,,2020-21,99,52,0.656,1,,,,,99,52,0.656,1,,,
Gerry McNamara,Siena,MAAC,,14,18,0.438,,,,,2024-25,14,18,0.438,,,,,,14,18,0.438,,,,
Niko Medved,Colorado State,MWC,,26,10,0.722,,,Lost Second Round,,2018-19,143,85,0.627,3,,,,,222,173,0.562,3,,,
Marvin Menzies,Kansas City,Summit,,13,20,0.394,,,,,2022-23,40,57,0.412,,,,,,286,216,0.57,5,,,
Tim Miles,San Jose State,MWC,,15,20,0.429,,,,,2021-22,53,80,0.398,,,,,,276,302,0.478,2,,,
Archie Miller,Rhode Island,A-10,,18,13,0.581,,,,,2022-23,39,55,0.415,,,,,,245,176,0.582,4,1,,
Sean Miller *,Xavier,Big East,,22,12,0.647,,,Lost First Round,,2004-05,185,87,0.68,6,3,,,,487,196,0.713,13,8,,
Wes Miller,Cincinnati,Big 12,,19,16,0.543,20,,,,2021-22,82,59,0.582,,,,,,267,194,0.579,2,,,
Paul Mills,Wichita State,AAC,,19,15,0.559,,,,,2023-24,34,34,0.5,,,,,,140,118,0.543,2,1,,
Jordan Mincy,Jacksonville,A-Sun,,19,14,0.576,,,,,2021-22,69,57,0.548,,,,,,69,57,0.548,,,,
Dan Monson,Eastern Washington,Big Sky,,10,22,0.312,,,,,2024-25,10,22,0.312,,,,,,455,418,0.521,4,1,,
Mark Montgomery,Detroit Mercy,Horizon,,8,24,0.25,,,,,2024-25,8,24,0.25,,,,,,134,203,0.398,,,,
Chris Mooney,Richmond,A-10,,10,22,0.312,,,,,2005-06,358,290,0.552,3,1,,,,376,302,0.555,3,1,,
Dave Moore,West Georgia,A-Sun,,6,25,0.194,,,,,2024-25,6,25,0.194,,,,,,6,25,0.194,,,,
Mike Morrell,UNC Asheville,Big South,,21,11,0.656,,,,,2018-19,116,99,0.54,1,,,,,116,99,0.54,1,,,
Porter Moser,Oklahoma,SEC,,20,14,0.588,,,Lost First Round,,2021-22,74,59,0.556,1,,,,,367,301,0.549,3,2,1,
LeVelle Moton,North Carolina Central,MEAC,,14,19,0.424,,,,,2009-10,278,216,0.563,4,,,,,278,216,0.563,4,,,
Chris Mudge,Sam Houston,CUSA,,13,19,0.406,,,,,2023-24,34,31,0.523,,,,,,34,31,0.523,,,,
Eric Musselman,USC,Big Ten,,17,18,0.486,,,,,2024-25,17,18,0.486,,,,,,238,111,0.682,6,4,,
Scott Nagy,Southern Illinois,MVC,,14,19,0.424,,,,,2024-25,14,19,0.424,,,,,,371,274,0.575,5,,,
Mike Nardi,Villanova,Big East,,2,1,0.667,,,,,2024-25,2,1,0.667,,,,,,2,1,0.667,,,,
Kyle Neptune *,Villanova,Big East,,19,14,0.576,,,,,2022-23,54,47,0.535,,,,,,70,63,0.526,,,,
Andy Newman,Cal State Northridge,Big West,,22,11,0.667,,,,,2023-24,41,26,0.612,,,,,,55,44,0.556,,,,
Darris Nichols,Radford,Big South,,20,13,0.606,,,,,2021-22,68,63,0.519,,,,,,68,63,0.519,,,,
Saah Nimley,Charleston Southern,Big South,,10,22,0.312,,,,,2023-24,18,37,0.327,,,,,,18,37,0.327,,,,
Nate Oats,Alabama,SEC,,28,9,0.757,2,6,Lost Regional Final,,2019-20,145,63,0.697,5,4,1,,,241,106,0.695,8,4,1,
Ryan Odom,VCU,A-10,,28,7,0.8,,,Lost First Round,,2023-24,52,21,0.712,1,,,,,201,117,0.632,3,,,
Eric Olen,UC-San Diego,Big West,,30,5,0.857,,,Lost First Round,,2020-21,81,63,0.562,1,,,,,81,63,0.562,1,,,
T.J. Otzelberger,Iowa State,Big 12,,25,10,0.714,5,17,Lost Second Round,,2021-22,95,45,0.679,4,2,,,,194,108,0.642,6,2,,
Matt Painter,Purdue,Big Ten,,24,12,0.667,14,14,Lost Regional Semifinal,,2005-06,471,215,0.687,16,8,1,,,496,220,0.693,17,8,1,
Lamont Paris,South Carolina,SEC,,12,20,0.375,,,,,2022-23,49,49,0.5,1,,,,,136,121,0.529,2,,,
Joe Pasternack,UCSB,Big West,,21,13,0.618,,,,,2017-18,169,81,0.676,2,,,,,207,135,0.605,2,,,
Dave Paulsen,Holy Cross,Patriot,,13,19,0.406,,,,,2023-24,23,42,0.354,,,,,,252,227,0.526,2,,,
Greg Paulus,Niagara,MAAC,,11,20,0.355,,,,,2019-20,78,98,0.443,,,,,,78,98,0.443,,,,
Bruce Pearl,Auburn,SEC,,32,6,0.842,11,4,Lost National Semifinal,,2014-15,246,125,0.663,6,2,2,,,477,224,0.68,14,6,2,
Tom Pecora,Quinnipiac,MAAC,,20,13,0.606,,,,,2023-24,44,23,0.657,,,,,,243,255,0.488,,,,
Ryan Pedon,Illinois State,MVC,,22,14,0.611,,,,,2022-23,48,52,0.48,,,,,,48,52,0.48,,,,
John Pelphrey,Tennessee Tech,OVC,,15,17,0.469,,,,,2019-20,66,120,0.355,,,,,,215,246,0.466,2,,,
Dwight Perry,Wofford,Southern,,19,16,0.543,,,Lost First Round,,2022-23,48,43,0.527,1,,,,,48,43,0.527,1,,,
Eric Peterson,South Dakota,Summit,,19,14,0.576,,,,,2022-23,43,53,0.448,,,,,,43,53,0.448,,,,
Antoine Pettway,Kennesaw State,CUSA,,19,14,0.576,,,,,2023-24,34,30,0.531,,,,,,34,30,0.531,,,,
Todd Phillips,Utah Valley,WAC,,25,9,0.735,,,,,2023-24,41,25,0.621,,,,,,41,25,0.621,,,,
Steve Pikiell,Rutgers,Big Ten,,15,17,0.469,25,,,,2016-17,147,140,0.512,2,,,,,339,296,0.534,3,,,
Richard Pitino,New Mexico,MWC,,27,8,0.771,,,Lost Second Round,,2021-22,88,49,0.642,2,,,,,247,186,0.57,4,,,
Rick Pitino *,St. John's (NY),Big East,,31,5,0.861,,11,Lost Second Round,,2023-24,51,18,0.739,1,,,,,885,311,0.74,24,13,7,2
Hank Plona,Western Kentucky,CUSA,,17,15,0.531,,,,,2024-25,17,15,0.531,,,,,,17,15,0.531,,,,
Mark Pope,Kentucky,SEC,,24,12,0.667,23,12,Lost Regional Semifinal,,2024-25,24,12,0.667,1,1,,,,211,120,0.637,3,1,,
Roger Powell Jr.,Valparaiso,MVC,,15,19,0.441,,,,,2023-24,22,44,0.333,,,,,,22,44,0.333,,,,
Alex Pribble,Idaho,Big Sky,,14,19,0.424,,,,,2023-24,25,40,0.385,,,,,,25,40,0.385,,,,
Steve Prohm,Murray State,MVC,,16,17,0.485,,,,,2011-12,149,81,0.648,1,,,,,246,176,0.583,4,1,,
Mark Prosser,Winthrop,Big South,,23,11,0.676,,,,,2021-22,78,52,0.6,,,,,,115,105,0.523,,,,
Tony Pujol,North Alabama,A-Sun,,24,11,0.686,,,,,2018-19,102,114,0.472,,,,,,102,114,0.472,,,,
David Ragland,Evansville,MVC,,11,21,0.344,,,,,2022-23,33,66,0.333,,,,,,33,66,0.333,,,,
Brett Reed,Lehigh,Patriot,,11,19,0.367,,,,,2007-08,287,259,0.526,2,,,,,287,259,0.526,2,,,
Mike Rhoades,Penn State,Big Ten,,16,15,0.516,,,,,2023-24,32,32,0.5,,,,,,208,145,0.589,3,,,
King Rice,Monmouth,CAA,,13,20,0.394,,,,,2011-12,220,228,0.491,,,,,,220,228,0.491,,,,
Leon Rice,Boise State,MWC,,26,11,0.703,,,,,2010-11,316,177,0.641,5,,,,,316,177,0.641,5,,,
Keith Richard,Louisiana-Monroe,Sun Belt,,7,25,0.219,,,,,2010-11,170,296,0.365,,,,,,320,413,0.437,,,,
Bob Richey,Furman,Southern,,25,10,0.714,,,,,2017-18,181,80,0.693,1,,,,,181,80,0.693,1,,,
David Richman,North Dakota State,Summit,,21,11,0.656,,,,,2014-15,211,142,0.598,2,,,,,211,142,0.598,2,,,
Marty Richter,USC Upstate,Big South,,6,26,0.188,,,,,2024-25,6,26,0.188,,,,,,6,26,0.188,,,,
Ryan Ridder,Mercer,Southern,,14,19,0.424,,,,,2024-25,14,19,0.424,,,,,,110,111,0.498,,,,
David Riley,Washington State,WCC,,19,15,0.559,,,,,2024-25,19,15,0.559,,,,,,81,53,0.604,,,,
Richie Riley,South Alabama,Sun Belt,,21,11,0.656,,,,,2018-19,131,94,0.582,,,,,,166,122,0.576,,,,
Daniyal Robinson,Cleveland State,Horizon,,23,13,0.639,,,,,2022-23,65,42,0.607,,,,,,65,42,0.607,,,,
Monte Ross,North Carolina A&T,CAA,,7,25,0.219,,,,,2023-24,14,50,0.219,,,,,,146,234,0.384,1,,,
Tevon Saddler,Nicholls State,Southland,,20,13,0.606,,,,,2023-24,40,27,0.597,,,,,,40,27,0.597,,,,
Kelvin Sampson,Houston,Big 12,,35,5,0.875,4,2,Lost National Final,,2014-15,299,84,0.781,7,6,2,,,724,311,0.7,21,9,3,
Ron Sanchez,Virginia,ACC,,15,17,0.469,,,,,2024-25,15,17,0.469,,,,,,87,95,0.478,,,,
Levell Sanders,Binghamton,AEC,,15,17,0.469,,,,,2021-22,55,67,0.451,,,,,,55,67,0.451,,,,
Clint Sargent,Wright State,Horizon,,15,18,0.455,,,,,2024-25,15,18,0.455,,,,,,15,18,0.455,,,,
Paul Sather,North Dakota,Summit,,12,21,0.364,,,,,2019-20,73,115,0.388,,,,,,73,115,0.388,,,,
Brooks Savage,ETSU,Southern,,19,13,0.594,,,,,2023-24,38,29,0.567,,,,,,38,29,0.567,,,,
Josh Schertz,Saint Louis,A-10,,19,15,0.559,,,,,2024-25,19,15,0.559,,,,,,85,55,0.607,,,,
Jon Scheyer,Duke,ACC,,35,4,0.897,7,3,Lost National Semifinal,,2022-23,89,22,0.802,3,2,1,,,89,22,0.802,3,2,1,
Ed Schilling,Pepperdine,WCC,,13,22,0.371,,,,,2024-25,13,22,0.371,,,,,,88,115,0.433,,,,
Mark Schmidt,St. Bonaventure,A-10,,22,12,0.647,,,,,2007-08,324,238,0.577,3,,,,,406,328,0.553,3,,,
Michael Schwartz,East Carolina,AAC,,19,14,0.576,,,,,2022-23,50,49,0.505,,,,,,50,49,0.505,,,,
Joe Scott,Air Force,MWC,,4,28,0.125,,,,,2000-01,94,169,0.357,1,,,,,278,346,0.446,1,,,
Bill Self,Kansas,Big 12,,21,13,0.618,1,,Lost First Round,,2003-04,624,156,0.8,21,11,4,2,,831,261,0.761,26,14,4,2
Patrick Sellers,Central Connecticut,NEC,,25,7,0.781,,,,,2021-22,63,64,0.496,,,,,,63,64,0.496,,,,
Herb Sendek,Santa Clara,WCC,,21,13,0.618,,,,,2016-17,161,120,0.573,,,,,,574,415,0.58,8,1,,
Rob Senderoff,Kent State,MAC,,24,12,0.667,,,,,2011-12,288,176,0.621,2,,,,,288,176,0.621,2,,,
Jim Shaw,Texas A&M-Corpus Christi,Southland,,20,14,0.588,,,,,2023-24,41,26,0.612,,,,,,41,26,0.612,,,,
Micah Shrewsberry,Notre Dame,ACC,,15,18,0.455,,,,,2023-24,28,38,0.424,,,,,,65,69,0.485,1,,,
Jeremy Shulman,UT-Martin,OVC,,14,19,0.424,,,,,2024-25,14,19,0.424,,,,,,14,19,0.424,,,,
John Shulman,Central Arkansas,A-Sun,,9,24,0.273,,,,,2024-25,9,24,0.273,,,,,,154,170,0.475,2,,,
Takayo Siddle,UNC Wilmington,CAA,,27,8,0.771,,,Lost First Round,,2020-21,106,47,0.693,1,,,,,106,47,0.693,1,,,
Marty Simmons,Eastern Illinois,OVC,,12,19,0.387,,,,,2021-22,40,85,0.32,,,,,,224,260,0.463,,,,
Todd Simon,Bowling Green State,MAC,,14,18,0.438,,,,,2023-24,34,32,0.515,,,,,,161,146,0.524,,,,
Duane Simpkins,American,Patriot,,22,13,0.629,,,Lost First Four,,2023-24,38,29,0.567,1,,,,,38,29,0.567,1,,,
Pat Skerry,Towson,CAA,,22,11,0.667,,,,,2011-12,235,210,0.528,,,,,,235,210,0.528,,,,
Tony Skinn,George Mason,A-10,,27,9,0.75,,,,,2023-24,47,21,0.691,,,,,,47,21,0.691,,,,
Dave Smart,Pacific,WCC,,9,24,0.273,,,,,2024-25,9,24,0.273,,,,,,9,24,0.273,,,,
Shaka Smart,Marquette,Big East,,23,11,0.676,18,,Lost First Round,,2021-22,98,41,0.705,4,1,,,,370,183,0.669,12,2,1,
Steve Smiley,Northern Colorado,Big Sky,,25,10,0.714,,,,,2020-21,89,71,0.556,,,,,,89,71,0.556,,,,
Byron Smith,Prairie View,SWAC,,5,27,0.156,,,,,2015-16,128,161,0.443,1,,,,,128,161,0.443,1,,,
Craig Smith,Utah,Big 12,,15,12,0.556,,,,,2021-22,65,62,0.512,,,,,,218,141,0.607,2,,,
Kyle Smith,Stanford,ACC,,21,14,0.6,,,,,2024-25,21,14,0.6,,,,,,279,207,0.574,1,,,
Zach Spiker,Drexel,CAA,,18,15,0.545,,,,,2016-17,131,145,0.475,1,,,,,233,257,0.476,1,,,
Scott Spinelli,Chicago State,NEC,,4,28,0.125,,,,,2024-25,4,28,0.125,,,,,,5,31,0.139,,,,
Preston Spradlin,James Madison,Sun Belt,,20,12,0.625,,,,,2024-25,20,12,0.625,,,,,,160,121,0.569,2,,,
Russell Springmann,Oral Roberts,Summit,,7,23,0.233,,,,,2023-24,19,42,0.311,,,,,,19,42,0.311,,,,
Danny Sprinkle,Washington,Big Ten,,13,18,0.419,,,,,2024-25,13,18,0.419,,,,,,122,68,0.642,3,,,
Travis Steele,Miami (OH),MAC,,25,9,0.735,,,,,2022-23,52,46,0.531,,,,,,122,96,0.56,,,,
Dwayne Stephens,Western Michigan,MAC,,12,20,0.375,,,,,2022-23,32,63,0.337,,,,,,32,63,0.337,,,,
Larry Stewart,Coppin State,MEAC,,6,24,0.2,,,,,2023-24,8,51,0.136,,,,,,8,51,0.136,,,,
Damon Stoudamire,Georgia Tech,ACC,,17,17,0.5,,,,,2023-24,31,35,0.47,,,,,,102,112,0.477,,,,
Rod Strickland,LIU,NEC,,17,16,0.515,,,,,2022-23,27,64,0.297,,,,,,27,64,0.297,,,,
Jerome Tang,Kansas State,Big 12,,16,17,0.485,,,,,2022-23,61,42,0.592,1,1,,,,61,42,0.592,1,1,,
Brette Tanner,Abilene Christian,WAC,,16,16,0.5,,,,,2021-22,70,62,0.53,,,,,,70,62,0.53,,,,
John Tauer,St. Thomas,Summit,,24,10,0.706,,,,,2021-22,73,57,0.562,,,,,,73,57,0.562,,,,
Billy Taylor,Elon,CAA,,17,16,0.515,,,,,2022-23,38,59,0.392,,,,,,203,227,0.472,1,,,
Dedrique Taylor,Cal State Fullerton,Big West,,6,26,0.188,,,,,2013-14,161,205,0.44,2,,,,,161,205,0.44,2,,,
Rodney Terry,Texas,SEC,,19,16,0.543,19,,Lost First Four,,2022-23,62,37,0.626,3,1,,,,225,193,0.538,4,1,,
Reggie Theus,Bethune-Cookman,SWAC,,17,16,0.515,,,,,2021-22,55,74,0.426,,,,,,149,202,0.425,1,,,
Ivan Thomas,Hampton,CAA,,17,16,0.515,,,,,2024-25,17,16,0.515,,,,,,17,16,0.515,,,,
Wayne Tinkle,Oregon State,WCC,,20,13,0.606,,,,,2014-15,160,190,0.457,2,1,,,,318,281,0.531,5,1,,
Andrew Toole,Robert Morris,Horizon,,26,9,0.743,,,Lost First Round,,2010-11,252,241,0.511,2,,,,,252,241,0.511,2,,,
KT Turner,UT Arlington,WAC,,13,18,0.419,,,,,2023-24,33,32,0.508,,,,,,33,32,0.508,,,,
Russ Turner,UC-Irvine,Big West,,32,7,0.821,,,,,2010-11,321,187,0.632,2,,,,,321,187,0.632,2,,,
Brad Underwood *,Illinois,Big Ten,,22,13,0.629,,,Lost Second Round,,2017-18,165,101,0.62,5,1,,,,274,128,0.682,9,1,,
Keith Urgo *,Fordham,A-10,,12,21,0.364,,,,,2022-23,50,49,0.505,,,,,,50,49,0.505,,,,
Drew Valentine,Loyola (IL),A-10,,25,12,0.676,,,,,2021-22,83,51,0.619,1,,,,,83,51,0.619,1,,,
Chris Victor,Seattle,WAC,,14,18,0.438,,,,,2021-22,80,53,0.602,,,,,,80,53,0.602,,,,
Will Wade,McNeese State,Southland,,28,7,0.8,,,Lost Second Round,,2023-24,50,9,0.847,2,,,,,246,105,0.701,7,1,,
Vance Walberg,Fresno State,MWC,,6,26,0.188,,,,,2024-25,6,26,0.188,,,,,,20,61,0.247,,,,
Darrell Walker,Little Rock,OVC,,19,14,0.576,,,,,2018-19,101,113,0.472,,,,,,101,113,0.472,,,,
Brian Wardle,Bradley,MVC,,28,9,0.757,,,,,2015-16,186,147,0.559,1,,,,,281,212,0.57,1,,,
Stan Waterman,Delaware State,MEAC,,16,14,0.533,,,,,2021-22,39,83,0.32,,,,,,39,83,0.32,,,,
Michael White,Georgia,SEC,,20,13,0.606,,,Lost First Round,,2022-23,56,46,0.549,1,,,,,299,174,0.632,5,1,,
Sundance Wicks,Wyoming,MWC,,12,20,0.375,,,,,2024-25,12,20,0.375,,,,,,30,34,0.469,,,,
Kevin Willard,Maryland,Big Ten,,27,9,0.75,,9,Lost Regional Semifinal,,2022-23,65,39,0.625,2,1,,,,335,249,0.574,7,1,,
Buzz Williams,Texas A&M,SEC,,23,11,0.676,13,19,Lost Second Round,,2019-20,120,73,0.622,3,,,,,373,228,0.621,11,4,,
Mo Williams,Jackson State,SWAC,,16,18,0.471,,,,,2022-23,45,54,0.455,,,,,,59,89,0.399,,,,
Shammond Williams,Denver,Summit,,1,2,0.333,,,,,2024-25,1,2,0.333,,,,,,1,2,0.333,,,,
Andrew Wilson,VMI,Southern,,15,19,0.441,,,,,2022-23,26,72,0.265,,,,,,26,72,0.265,,,,
Mike Woodson,Indiana,Big Ten,,19,13,0.594,17,,,,2021-22,82,53,0.607,2,,,,,82,53,0.607,2,,,
Jeff Wulbrun,Denver,Summit,,10,19,0.345,,,,,2021-22,53,74,0.417,,,,,,53,74,0.417,,,,
Kevin Young,BYU,Big 12,,26,10,0.722,,13,Lost Regional Semifinal,,2024-25,26,10,0.722,1,1,,,,26,10,0.722,1,1,,
Mike Young,Virginia Tech,ACC,,13,19,0.406,,,,,2019-20,105,85,0.553,2,,,,,404,329,0.551,7,,,
Derrick Zimmerman,Louisiana,Sun Belt,,9,12,0.429,,,,,2024-25,9,12,0.429,,,,,,9,12,0.429,,,,
Jaret von Rosenberg,East Texas A&M,Southland,,5,26,0.161,,,,,2022-23,31,66,0.32,,,,,,31,66,0.32,,,,
