,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
272,South Alabama,32,21,11,0.656,1.52,-4.12,,13,5,,13,4,,8,6,,2334,2066,,64.2,98.2,0.237,0.594,0.51,50.5,69.5,8.8,10.3,0.484,18.1,31.5,0.166
273,South Carolina,32,12,20,0.375,9.89,11.55,,2,16,,10,8,,1,10,,2233,2286,,66.8,106.1,0.304,0.346,0.544,48.4,49.9,11.7,13.9,0.515,13.8,27.3,0.216
274,South Carolina State,33,20,13,0.606,-4.62,-9.05,,11,3,,10,2,,7,10,,2624,2324,,71.5,97.7,0.459,0.336,0.535,47.4,54.3,10.2,7.4,0.493,20.1,31.1,0.317
275,South Carolina Upstate,32,6,26,0.188,-15.67,-2.7,,2,14,,4,10,,2,14,,2393,2673,,74.1,112.7,0.389,0.399,0.578,52.7,46.6,11,7.7,0.547,14.8,30.8,0.277
276,South Dakota,33,19,14,0.576,-5.69,-3.49,,9,7,,14,2,,4,11,,2812,2763,,74.7,112.1,0.339,0.392,0.567,52.5,50.8,6.7,8.4,0.535,15.3,34.8,0.245
277,South Dakota State,32,20,12,0.625,2.15,-1.82,,11,5,,13,1,,4,8,,2546,2352,,69.7,105.5,0.281,0.468,0.537,43.5,45.9,10.1,7.1,0.503,12.1,22.2,0.212
278,South Florida,32,13,19,0.406,-2.15,-0.18,,6,12,,9,6,,2,10,,2381,2385,,69.7,106.1,0.36,0.377,0.536,52.4,55,9.1,9.9,0.496,15.9,33,0.265
279,Southeast Missouri State,33,21,12,0.636,-4.84,-7.8,,15,5,,12,3,,8,7,,2442,2212,,69.7,95.5,0.407,0.322,0.509,50.8,41.6,8.3,7.3,0.46,17.2,27,0.294
280,Southeastern Louisiana,32,18,14,0.563,-4,-4.67,,12,8,,8,4,,9,8,,2324,2232,,67.5,102.5,0.36,0.431,0.537,48.5,50.6,8.9,9.7,0.507,16.6,28.8,0.243
281,Southern,32,20,12,0.625,-6.83,-7.9,,15,3,,11,1,,9,10,,2392,2184,,70.6,95.9,0.417,0.397,0.527,46.3,59.7,9.7,11.7,0.487,19.3,27.2,0.29
282,Southern California,35,17,18,0.486,12.97,10.86,,7,13,,12,7,,3,7,,2685,2611,,69,107.4,0.346,0.387,0.557,50.4,57.9,9.9,9,0.519,15.5,30.2,0.259
283,Southern Illinois,33,14,19,0.424,-2.22,1.07,,8,12,,7,8,,5,7,,2405,2458,,68.4,108.1,0.337,0.397,0.549,48.3,53.1,10.6,8.1,0.518,13.8,27.6,0.24
284,SIU Edwardsville NCAA,34,22,12,0.647,-6.12,-7.44,,13,7,,12,3,,7,8,,2436,2260,,67.7,97.4,0.316,0.39,0.503,48.5,49.1,9.5,7.5,0.466,15.9,28.6,0.224
285,Southern Indiana,30,10,20,0.333,-13.86,-8.4,,5,15,,8,7,,2,13,,2144,2204,,68.5,105.9,0.34,0.365,0.534,50.8,46.4,10.7,8.1,0.505,14.6,30.8,0.229
286,Southern Methodist,35,24,11,0.686,14.35,5.72,,13,7,,13,6,,7,4,,2797,2495,,69.3,102.8,0.327,0.411,0.521,46.1,62,9.3,10.1,0.481,15.4,29.9,0.242
287,Southern Mississippi,33,11,22,0.333,-9.91,-3.33,,5,13,,9,6,,1,13,,2352,2507,,71.4,105.5,0.336,0.383,0.531,50,51.3,11.8,9.1,0.497,14,29.5,0.237
288,Southern Utah,31,12,19,0.387,-10.63,-2.13,,4,12,,8,7,,3,11,,2163,2285,,70.8,104.1,0.306,0.283,0.513,49.5,49.8,12,9,0.484,13.2,31.2,0.208
289,St. Bonaventure,34,22,12,0.647,2.92,0.07,,9,9,,12,4,,7,6,,2334,2218,,65.3,99.5,0.243,0.47,0.526,49.4,58.1,9.4,9.3,0.499,16.8,26.6,0.175
290,St. John's (NY) NCAA,36,31,5,0.861,21.25,8.56,,18,2,,18,0,,8,2,,2825,2368,,70.1,92.5,0.307,0.408,0.491,46.3,55.3,9.2,8.3,0.459,18.5,29.8,0.206
291,St. Thomas,34,24,10,0.706,1.01,-4.51,,12,4,,14,0,,7,8,,2827,2544,,69.8,106.9,0.351,0.416,0.557,52.8,52.1,7.2,9.5,0.519,16.5,30,0.263
292,Stanford,35,21,14,0.6,8.78,6.07,,11,9,,17,3,,3,8,,2571,2476,,67.1,105.4,0.355,0.337,0.545,49.3,40.5,8,6.8,0.505,15.2,28.4,0.264
293,Stephen F. Austin,31,14,17,0.452,-8.01,-3.29,,7,13,,8,8,,6,9,,2065,2118,,68.2,98.9,0.331,0.37,0.51,48.6,53.4,13.2,9.3,0.478,17.5,32.9,0.225
294,Stetson,32,8,24,0.25,-16.7,-4.7,,6,12,,5,9,,3,11,,2293,2608,,69.5,116.4,0.271,0.41,0.558,53.5,55.3,11.3,8.3,0.527,11.3,33.9,0.204
295,Stonehill,32,15,17,0.469,-13.12,-9.55,,7,9,,11,3,,3,13,,2198,2242,,66.3,105.8,0.322,0.334,0.539,50.2,40.9,10.4,12.4,0.503,14.6,28.5,0.237
296,Stony Brook,32,8,24,0.25,-13.84,-4.42,,4,14,,5,9,,3,13,,2128,2372,,64.9,114.3,0.28,0.423,0.573,51.2,58.6,10.8,10.9,0.551,13.1,30.6,0.196
297,Syracuse,33,14,19,0.424,4.95,8.04,,7,13,,11,6,,2,9,,2464,2566,,68.7,110.7,0.33,0.381,0.559,47.3,47.5,11.2,9,0.529,12.4,26.1,0.237
298,Tarleton State,32,12,20,0.375,-10.31,-0.31,,7,9,,10,3,,1,14,,2025,2227,,68.5,101.6,0.463,0.422,0.561,51.1,60.1,12.5,11.6,0.515,21.2,33.1,0.338
299,TCU,32,16,16,0.5,10.49,11.64,,9,11,,14,3,,2,9,,2162,2199,,67.1,102.1,0.283,0.425,0.54,49.4,63.5,9.3,9.2,0.509,17.1,29.6,0.208
300,Temple,32,17,15,0.531,-0.24,-0.37,,9,9,,12,2,,3,9,,2520,2487,,69.4,109.4,0.361,0.363,0.542,49.3,54.5,9.7,10.3,0.507,13.2,31.4,0.255
301,Tennessee NCAA,38,30,8,0.789,24.2,13.25,,12,6,,16,1,,6,5,,2813,2397,,64.9,97.1,0.282,0.446,0.489,46.5,47,9.1,9.2,0.45,15.1,30.3,0.209
302,Tennessee State,33,17,16,0.515,-8.01,-8.71,,12,8,,12,3,,4,10,,2577,2418,,71.6,100,0.374,0.359,0.511,45.8,47.9,11,8.1,0.475,15.3,29.5,0.252
303,Tennessee Tech,32,15,17,0.469,-11.09,-7.82,,10,10,,9,5,,5,10,,2308,2371,,69,106.6,0.213,0.347,0.521,53,48.2,10.7,9.1,0.494,12.7,31.6,0.159
304,Tennessee-Martin,33,14,19,0.424,-11.18,-8.18,,9,11,,8,5,,5,12,,2455,2373,,68,103.4,0.332,0.487,0.539,47,56.4,11.4,13.3,0.506,16.5,29.1,0.237
305,Texas NCAA,35,19,16,0.543,15.65,9.79,,6,12,,11,7,,4,6,,2747,2542,,68.4,104.7,0.389,0.364,0.527,49.3,48.4,8.3,8.1,0.489,14.2,29.4,0.272
306,Texas A&M NCAA,34,23,11,0.676,19.3,13.39,,11,7,,13,3,,5,5,,2537,2336,,67.8,100.5,0.357,0.462,0.53,44.1,64.7,11.3,14.4,0.483,17,28,0.274
307,Texas A&M-Corpus Christi,34,20,14,0.588,-0.99,-3.39,,12,8,,15,2,,4,11,,2576,2291,,68.5,98.3,0.383,0.376,0.517,47,53.1,10.9,11,0.481,17.1,28.8,0.259
308,Texas Southern,32,15,17,0.469,-10.27,-8.23,,12,6,,9,4,,6,12,,2325,2307,,71.6,99.9,0.342,0.419,0.508,50.9,55.6,10.5,9.2,0.475,16.6,33.3,0.232
309,Texas State,32,16,16,0.5,-3.6,-3.77,,9,9,,10,4,,4,10,,2439,2346,,67.2,106.6,0.404,0.363,0.538,47,50,10.6,9.5,0.496,14.6,30.5,0.29
310,Texas Tech NCAA,37,28,9,0.757,23.05,10.62,,15,5,,15,3,,8,2,,2993,2533,,66.5,101.2,0.334,0.346,0.518,46.9,46.3,8.5,7.9,0.481,14.9,28.3,0.239
311,Texas-Rio Grande Valley,31,16,15,0.516,-6.05,-3.38,,8,12,,12,4,,2,11,,2378,2294,,71.5,103.6,0.286,0.354,0.526,49.8,51.6,9.8,8,0.493,15.4,31.6,0.209
312,The Citadel,30,5,25,0.167,-18.37,-4.49,,0,18,,5,12,,0,12,,1997,2251,,66.3,111.7,0.326,0.424,0.565,51.5,53.1,11.3,10.6,0.534,14.1,30.2,0.238
313,Toledo,33,18,15,0.545,-6.03,-2.78,,10,8,,9,4,,6,9,,2603,2645,,69.6,114.8,0.264,0.377,0.582,50.7,46,8.2,7.4,0.558,13.7,30.5,0.194
314,Towson,33,22,11,0.667,-1.92,-3.57,,16,2,,12,1,,9,5,,2309,2201,,64.1,102.9,0.306,0.385,0.532,47.4,46.6,8.2,8,0.502,15.5,27.9,0.214
315,Troy NCAA,34,23,11,0.676,3.55,-2.1,,13,5,,11,4,,9,6,,2495,2235,,67.5,97.4,0.299,0.376,0.502,46.2,51.5,11.2,10,0.467,17.2,31.8,0.213
316,Tulane,34,19,15,0.559,1.24,-0.73,,12,6,,14,3,,4,7,,2533,2393,,68.1,102.9,0.324,0.425,0.518,51,59.5,8.9,10.9,0.479,14.9,31,0.237
317,Tulsa,33,13,20,0.394,-5.93,-1.9,,6,12,,8,9,,3,8,,2352,2430,,67.6,107.3,0.323,0.343,0.53,50.9,46.9,10.3,10.8,0.498,12.6,29.9,0.226
318,UAB,37,24,13,0.649,4.7,-0.1,,13,5,,14,4,,7,6,,3040,2822,,70.4,107.6,0.285,0.346,0.538,46.5,49.7,8.2,8.1,0.507,13.5,30.2,0.207
319,UC Davis,32,15,17,0.469,-6.41,-1.51,,9,11,,8,6,,7,10,,2175,2249,,68.6,102,0.378,0.373,0.54,52.3,54.9,9.8,6.6,0.494,18.8,32.8,0.285
320,UC Irvine,39,32,7,0.821,7.6,-0.8,,17,3,,13,2,,14,3,,2962,2613,,69.7,94.6,0.223,0.374,0.485,47.4,55,9.1,6.9,0.456,15.3,26.6,0.161
321,UC Riverside,34,21,13,0.618,-1.47,0.38,,14,6,,14,1,,7,11,,2542,2550,,68,108.6,0.322,0.387,0.554,48.3,53.2,7.8,8.5,0.517,14.1,28.3,0.243
322,UC San Diego NCAA,35,30,5,0.857,12.63,-1.92,,18,2,,13,2,,12,2,,2777,2163,,67.4,91.7,0.29,0.443,0.507,50.3,52.9,6.7,9.6,0.47,20.7,27.4,0.216
323,UC Santa Barbara,34,21,13,0.618,0.28,-3.5,,11,9,,12,5,,7,7,,2527,2340,,66.9,102.8,0.311,0.369,0.527,49.4,46.2,9,6.8,0.484,14.9,28.1,0.241
324,UCF,37,20,17,0.541,10.59,11.22,,7,13,,13,5,,2,8,,2951,2974,,72.5,109,0.311,0.374,0.545,51.3,53.3,9.8,9.8,0.511,15,34.2,0.229
325,UCLA NCAA,34,23,11,0.676,19.68,10.71,,13,7,,15,2,,5,5,,2522,2217,,66.2,98.5,0.339,0.45,0.541,49.1,58,8.6,7,0.501,20.1,29.8,0.255
326,UNC Asheville,32,21,11,0.656,-5.36,-4.71,,11,5,,13,1,,6,9,,2630,2450,,70.8,106.9,0.407,0.386,0.551,50.9,48.8,7.8,5,0.517,16.5,32.7,0.281
327,UNC Greensboro,32,20,12,0.625,-0.99,-4.13,,13,5,,11,3,,8,6,,2332,2092,,65.2,100.3,0.337,0.417,0.503,48.1,45.7,8.7,7.3,0.462,14.4,29,0.241
328,UNC Wilmington NCAA,35,27,8,0.771,2.36,-3.95,,14,4,,15,3,,9,4,,2771,2459,,67.4,103.2,0.299,0.43,0.527,45,48.5,8.9,9.2,0.499,14.7,27.6,0.204
329,UT Arlington,31,13,18,0.419,-5.55,-2.83,,6,10,,9,4,,3,11,,2302,2320,,69.1,107,0.338,0.342,0.532,49.2,56.2,11.2,10.2,0.493,14.2,32.2,0.248
330,Utah,33,16,17,0.485,11.44,8.5,,8,12,,15,4,,1,9,,2493,2396,,69.3,104.4,0.333,0.403,0.524,46.6,51.6,10.3,12.9,0.49,13.5,28.2,0.233
331,Utah State NCAA,34,26,8,0.765,13.56,5.35,,15,5,,15,2,,7,4,,2716,2381,,67.2,104.1,0.349,0.438,0.55,47.9,59.8,9.7,9.8,0.515,17.8,30.6,0.252
332,Utah Tech,33,7,26,0.212,-10.29,-1.65,,2,14,,5,8,,0,16,,2305,2508,,69.3,109.3,0.402,0.314,0.558,52.4,49.9,11,10.9,0.522,15,31.4,0.286
333,Utah Valley,34,25,9,0.735,1.91,-3.31,,15,1,,12,0,,10,7,,2584,2322,,69.4,97.7,0.308,0.331,0.505,46.6,49.2,9.8,9.4,0.47,15,26.2,0.217
334,UTEP,33,18,15,0.545,-0.63,0.34,,7,11,,11,5,,4,8,,2392,2335,,69.5,101.4,0.393,0.401,0.551,54,57.4,9.3,9.5,0.513,20,32.5,0.281
335,UTSA,31,12,19,0.387,-2.55,0.52,,6,12,,7,7,,4,11,,2378,2382,,70.4,108.3,0.422,0.384,0.571,54,57.7,9.8,12.1,0.531,18.4,34.7,0.308
336,Valparaiso,34,15,19,0.441,-2.9,-0.12,,6,14,,10,7,,3,10,,2539,2513,,68.5,106.7,0.338,0.365,0.555,50.8,51.3,8.7,9,0.525,15.1,27.1,0.238
337,Vanderbilt NCAA,33,20,13,0.606,14.66,10.05,,8,10,,14,3,,3,7,,2604,2452,,69.8,106,0.385,0.377,0.563,50,47.3,8,11.6,0.527,17.4,29.7,0.277
338,Vermont,33,21,12,0.636,-8.06,-7.61,,13,3,,13,3,,7,8,,2199,2106,,64.4,99,0.268,0.384,0.509,49.2,44.7,9.8,11.1,0.478,14.6,26.1,0.192
339,Villanova,36,21,15,0.583,13.28,7.45,,11,9,,14,3,,3,8,,2664,2454,,63.8,106.5,0.304,0.458,0.538,47.9,59.8,7.9,8.4,0.511,13.8,27.7,0.21
340,Virginia,32,15,17,0.469,5.71,7.71,,8,12,,10,7,,4,7,,2073,2137,,61.6,108.4,0.288,0.387,0.543,52.9,50,9.5,9.4,0.508,13.6,29.7,0.217
341,Virginia Commonwealth NCAA,35,28,7,0.8,14.45,1.3,,15,3,,15,1,,7,3,,2693,2201,,66.6,94,0.368,0.35,0.49,46.7,46.7,9.8,7.6,0.444,17.6,30.4,0.263
342,VMI,34,15,19,0.441,-11.25,-4.88,,7,11,,7,7,,5,10,,2492,2487,,68.8,105.9,0.29,0.46,0.542,51.1,63.5,10.2,10.3,0.522,15.7,30.7,0.189
343,Virginia Tech,32,13,19,0.406,2.62,6.62,,8,12,,8,9,,5,5,,2213,2341,,66.1,109.4,0.318,0.412,0.559,49.1,55,10.5,9.9,0.523,14.2,29.2,0.241
344,Wagner,30,14,16,0.467,-15.75,-10.29,,6,10,,8,6,,6,10,,1874,1818,,61.8,96.9,0.373,0.438,0.535,46.4,55.7,10.1,9.4,0.495,18.2,22.2,0.269
345,Wake Forest,32,21,11,0.656,9.63,7.47,,13,7,,13,3,,6,6,,2246,2177,,67.9,100.2,0.315,0.458,0.516,51.7,57.4,9.3,7.5,0.472,16.8,31.5,0.243
346,Washington,31,13,18,0.419,6.26,10.76,,4,16,,9,9,,2,9,,2219,2339,,68.6,109,0.36,0.352,0.568,51.1,47,9.5,11.7,0.531,15.1,28,0.27
347,Washington State,34,19,15,0.559,4.67,4.32,,8,10,,10,4,,4,7,,2683,2671,,71.6,109.3,0.321,0.391,0.545,50,49.9,11,7.9,0.512,14.6,33.6,0.231
348,Weber State,34,12,22,0.353,-9.64,-3.16,,5,13,,5,10,,4,11,,2443,2443,,66.9,106.6,0.358,0.423,0.547,50.7,54.9,8.7,9.1,0.51,14.6,28,0.259
349,West Georgia,31,6,25,0.194,-15.57,-4.5,,4,14,,4,8,,2,15,,2140,2426,,69.3,112.9,0.364,0.434,0.584,52.6,57.5,10,7.3,0.555,14.9,29.2,0.259
350,West Virginia,32,19,13,0.594,14.89,11.54,,10,10,,13,4,,4,7,,2181,2074,,65.2,97.8,0.322,0.365,0.505,52.4,46.2,8.4,9.4,0.463,16.7,30.8,0.239
351,Western Carolina,30,8,22,0.267,-15.83,-2.35,,4,14,,7,7,,1,14,,2090,2371,,71.6,109,0.32,0.443,0.539,50.5,53.3,11.7,9.4,0.502,12.2,28.3,0.237
352,Western Illinois,31,12,19,0.387,-15.22,-8.5,,6,14,,8,7,,4,11,,2130,2211,,65.5,108,0.293,0.356,0.53,49.6,48.6,10.3,7.3,0.498,12.4,30.3,0.213
353,Western Kentucky,32,17,15,0.531,-0.5,1,,8,10,,13,5,,4,9,,2395,2392,,72.9,102.2,0.384,0.442,0.525,52.2,55.6,9.1,11.3,0.479,15.3,28.2,0.283
354,Western Michigan,32,12,20,0.375,-9.55,-4.17,,9,9,,6,9,,6,10,,2306,2433,,69.4,109.6,0.331,0.41,0.565,48,56.8,8.4,10.4,0.54,14.9,27.8,0.229
355,Wichita State,34,19,15,0.559,2.29,1.81,,8,10,,11,6,,5,7,,2516,2485,,69.4,104.5,0.281,0.384,0.522,47.8,51.4,10.2,10.5,0.498,13.5,28.9,0.189
356,William & Mary,32,17,15,0.531,-6.26,-4.26,,11,7,,12,2,,4,11,,2487,2445,,71.2,107.3,0.344,0.417,0.554,51,50.8,9.8,11.1,0.521,15.8,29.5,0.246
357,Winthrop,34,23,11,0.676,-1.68,-4.17,,11,5,,16,2,,5,8,,2879,2651,,74.1,104.1,0.358,0.382,0.543,48.4,46.9,9.3,10.9,0.505,16.7,30.4,0.259
358,Wisconsin NCAA,37,27,10,0.73,20.73,11.49,,13,7,,14,3,,6,5,,2964,2622,,68.7,102.8,0.277,0.391,0.514,48.3,49.9,6.9,10.7,0.481,12.6,26.7,0.202
359,Wofford NCAA,35,19,16,0.543,-0.13,-2.34,,10,8,,7,6,,8,8,,2623,2451,,65.2,106.6,0.353,0.466,0.545,44.6,49.1,9.6,9.4,0.515,13.7,25.5,0.244
360,Wright State,33,15,18,0.455,-4.89,-3.79,,8,12,,11,4,,3,12,,2551,2520,,68.1,110.8,0.341,0.36,0.555,48.6,49.6,10.5,7.7,0.526,12.9,28.3,0.238
361,Wyoming,32,12,20,0.375,-0.67,4.21,,5,15,,8,7,,3,10,,2149,2277,,65.7,107.8,0.412,0.377,0.549,48.5,47.1,10.3,9.3,0.508,13.9,27.2,0.296
362,Xavier NCAA,34,22,12,0.647,15.25,8.72,,13,7,,15,2,,5,7,,2656,2434,,69.4,102.4,0.286,0.374,0.541,49.6,55.4,8.2,11.2,0.51,15.7,25.5,0.208
363,Yale NCAA,30,22,8,0.733,6.66,-3.1,,13,1,,11,0,,7,6,,2439,2102,,69,101.6,0.288,0.476,0.524,45.2,57.5,8.6,7.7,0.487,14.4,25.6,0.216
364,Youngstown State,34,21,13,0.618,-3.85,-4.98,,13,7,,10,5,,9,6,,2599,2446,,70.6,101.2,0.346,0.334,0.518,49.5,52.3,9.3,8.3,0.48,15.5,30,0.246
